WNAM,SCHN
"Calandín Calandín, Emilio (or Emili)",Valencia; Barcelona
"Calbó, Pascual",Balearic Islands
"Caldera, Juan",Estremadura
"Calderó Ripoll, Pere (or Pedro)",Tarragona
"Calderón García, Cruz José",Madrid; Barcelona
"Calderón, Fernando",Santander
"Calleja, Andrés de la",La Rioja and Madrid
"Calleja, Manuel de la",[n.r.]
"Callicó Botella, Ferran (or Fernando)",Barcelona
"Calsina, Ramón",Barcelona
"Calvo Carrión, Antonio",Seville; Balearic Islands
"Calvo González, Germán",Madrid
"Calvo, Manuel (or Manolo)",Madrid
"Camacho Felices de Alisén, Pedro",Alicante; Madrid
"Camacho y Gallego, Eduardo",Andalusia
"Camarón Boronat, José",Valencia and Madrid
"Camarón Meliá, Juan José",Valencia; Madrid
"Camarón Meliá, Manuel",Valencia
"Camarón Torra, Vicente",Madrid
"Camarón, Nicolás",Valencia
"Cambray, Juan (or Joan) de",Castile-Leon
"Cambray, Juan de",Navarre
"Camilo, Francisco",Madrid
"Camino, Clemente del",[n.r.]
"Camós Cabruja, Luis (or Lluís)",Barcelona
"Campaña the Younger, Pedro de",Seville
"Campaña, Juan de",Seville
"Campaña, Pedro de",
"Campeny Santamaria, Josep (or José)",Barcelona
"Campeny y Estrany, Damián Buenaventura",Barcelona
"Campesino y Mingo, Vicente",Madrid
"Campillo Solano, José",Murcia; Barcelona
"Campo Sobrino, Fernando",Pontevedra; Madrid
"Campos, Joaquín",Valencia
"Campos, Luis de María",Cádiz
"Campos, Pedro de",Seville
"Camprobín, Pedro",Toledo; Seville
"Camps Arnau, José María (or Josep Maria)",Barcelona
"Camps González, Leonardo",Málaga
"Camps Junyent, Gaspar",Barcelona
"Camps Ribera, Francesc (or Francisco)",Barcelona
"Campuzano y Aguirre, Tomás",Santander; Madrid
"Cañada Valle, Alejandro",Aragón
"Cañadas, Luis",Almería
"Canalias, José",Barcelona
"Canals Llambí, Ricard (or Ricardo)",Barcelona
"Canals Xercavins, Lluís (or Luis)",Barcelona
"Cañas, Josep (or José)",Barcelona
"Cañaveral y Pérez, Alfonso",Seville
"Cañaveral y Pérez, Enrique",Seville
"Cañaveral y Pérez, José",Seville; Madrid
"Candamo, Juan de",Asturias
"Canderroa, Bernardino de",Toledo
"Canedo, Joaquín",Valladolid
"Canet, Antoni (or Antonio, or Antonius)",Balearic Islands; Catalonia
"Canjura, N.",[n.r.]
"Cano Correa, Antonio",Andalusia
"Cano de Arévalo, Juan",Madrid
"Cano de la Peña, Eduardo",Madrid; Seville
"Cano, Alonso",Andalusia; Granada
"Cano, Joaquín José (or Joaquín Josef)",Seville
"Cano, Miguel",Andalusia
"Canogar, Rafael (pseud.)",Madrid
"Cánovas, Andrés",Seville
"Cantellops, José (or Josef, or Joseph)",Balearic Islands; Madrid
"Cantó y Mas, Juan (or Joan)",Barcelona
"Cantón Checa, Miguel",Andalusia
"Canut Soler, Carles (or Carlos)",Valencia; Barcelona
"Canyellas Balagueró, Francesc (or Francisco)",Barcelona
"Capdevila Massana, Manuel",Barcelona
"Capdevila Puig, Genís (or Ginés)",Barcelona
"Capmany Montaner, Ramon",Barcelona
"Capo y Celada, Antonio",Madrid
"Caprotti, Oscar",Madrid
"Capuleto, Francisco",Andalusia
"Capuletti, José Manuel",Madrid; Valladolid
"Capulino Jáuregui, Joaquín",Andalusia
"Capuz Alonso, Tomás",Valencia; Madrid
"Capuz Calvet, Fray Francisco",Valencia
"Capuz Calvet, Leonardo Julio",Valencia
"Capuz Calvet, Raimundo",Valencia; Madrid
"Capuz Mamano, José",Valencia; Madrid
"Capuz Mamano, Pascual (or Pasqual)",Valencia; Barcelona
"Carato, Mateo",Seville
"Carazo Martínez, José",Granada; Madrid
"Carazo Martínez, Ramón",Granada; Madrid
"Carbó, Juan Bautista",Valencia
"Carbona Balaguer, María Angeles (or Maria dels Angels)",Lérida
"Carbonell Piñol, Gerard (or Gerardo)",Barcelona
"Carbonell Selva, Miquel (or Miguel)",Barcelona and Madrid
"Carbonell y Huguet, Pedro (or Pere)",Barcelona
"Carbonell, Miguel",Balearic Islands
"Cardellà Crusells, Joan (or Juan)",Valencia; Barcelona
"Cárdenas Maldonado, Gabriel de",Valladolid
"Cárdenas, Bartolomé de",Castile
"Cárdenas, Juan Ignacio de",Madrid
"Cardeñosa, Cristóbal de",Aragon; Madrid
"Carderera y Solano, Valentín",Aragon; Madrid
"Cardona Lladós, Joan (or Juan)",Barcelona
"Cardona Torrandell, Armand (or Armando)",Barcelona
"Cardona y Tío, Juan",Catalonia
"Carducho, Bartolomé (or Bartolomeo)",Madrid
"Carducho, Vincencio (or Vicencio, or Vicente, or Vincenzo)",Madrid
"Cardunets Cazorla, Alejandro (or Alexandre)",Barcelona
Carillo,Burgos
"Carisana, Nicolás",Madrid
"Carles Rosich, Domènec (or Domingo, or Dominique)",Catalonia
"Carlos María Isidro de Borbón, (Infante de España), [S.A.R.] (Don)",
"Carnicero, Alejandro (or Alexandro)",Castile-Leon; Madrid
"Carnicero, Antonio",Madrid
"Carnicero, Isidro (or Isidoro)",Madrid
"Caro de Tavira, Juan",Andalusia
"Caro de Torres, Manuel",[n.r.]
"Caro Herrera, Antonio",Málaga
"Caro, Francisco",Madrid; Segovia
"Carón, José",Valencia
"Carpe, Antonio Hernández",Murcia; Madrid
"Carpio, Juan José",Seville
"Carrasco Díaz, Francisco",Granada
"Carrasco, Vicente",Madrid
"Carreño de Miranda, Juan",Madrid
"Carreño, Emilio Julio",Madrid
"Carrera Dellunder, Joan (or Juan)",Catalonia
"Carrera, Agustín (or Agustí, or Augustin)",
"Carreras Artau, Mariano",Barcelona
"Carreras Martí, Joaquim (or Joaquín)",Barcelona
"Carreras Obrador, Josep (or José)",Barcelona
"Carreres, Vicente",Barcelona; Valencia
"Carrero Fernández, Genaro (or Jenaro)",Galicia; Madrid
"Carretero Ferré, Eduardo",Granada; Madrid
"Carretero Gomis, Josep",Barcelona
"Carretero Sánchez, Francisco",Granada; Barcelona
"Carretero y Sánchez, Arturo",Galicia; Madrid
"Carretero, Aurelio",Valladolid; Madrid
"Carriles, C.",[n.r.]
"Carrillo, Juan (or Joan)",Murcia and Caceres
"Carrión Valverde, Antonio",Canary Islands
"Carrión, Domingo de",Madrid
"Carrión, Juan de",Avila
"Carrión, Juan Francisco",Madrid (?)
"Carrión, Leonardo de",Valladolid
"Carulla Ribera, Francesc (or Francisco)",Barcelona
"Carús, Hilari",
"Carvajal, Luis (or Louis) de",Toledo; Madrid
"Casado del Alisal, José María",Madrid
"Casado, Rufino",Madrid
"Casals Camps, Emili (or Emilio)",Barcelona
"Casals Grau, Vicenç (or Vicente)",Barcelona
"Casals Maynou, Juli (or Julio)",Barcelona
"Casals Peipoch, Josep (or José)",Barcelona
"Casamor de Espona, Antonio (or Antoni)",Barcelona
"Casán Matamala, Josep (or José)",Barcelona
"Casanova Estorach, Antoni (or Antonio)",Barcelona
"Casanova Ruiz, Lorenzo",Alicante; Madrid
"Casanova, Carlos",Aragon; Madrid
"Casanovas Claramunt, Arcadi (or Arcadio)",Barcelona
"Casanovas Gorchs, Francesc (or Francisco)",Barcelona
"Casanovas Roig, Enric (or Enrique)",Barcelona
"Casanovas Torrents, Antonio",Barcelona
"Casanovas y Astorza, Enrique",Valencia; Madrid
"Casariego, Francisco",Asturias
"Casas Abarca, Agapit (or Agapito)",Barcelona
"Casas Abarca, Pere (or Pedro)",Barcelona
"Casas Carbó, Ramon",Barcelona
"Casas Devesa, Joan (or Juan)",Barcelona
"Casas Novoa, Fernando de",Galicia
"Casas, Juan (or Joan)",Barcelona
"Cascalls, Jaume (or Jaime)",Catalonia
"Casenave y Pérez, José",Madrid
"Casero Sanz, Antonio",Madrid
"Cases Capó, José (or Josep)",Barcelona
"Casilari Roldán, Santiago",Málaga
"Casinello, H.",
"Castañeda, Abdón",Valencia
"Castañer, Ramón",Alicante
"Castaño Guerrero, Miguel",Madrid
"Castaños Agáñez, Manuel",Seville; Madrid
"Castaños Oller, Rodrigo",Andalusia
"Castedo, Julián",Barcelona
"Castelaro y Perea , José",Madrid
"Castell Doménech, Vicente",Castellón de la Plana
"Castellanas Garrich, Josep",Barcelona; Balearic Islands
"Castellano, Manuel",Madrid
"Castellnou de Navalles, Arnaut (or Arnaud, or Arnault) de",Aragon
"Castelló the Elder, Vicente",Valencia
"Castelló the Younger, Vicente",Valencia
"Castelló y Amat, Vicente",Valencia
"Castelló y González del Campo, Antonio",Valencia
"Castelló y González del Campo, Vicente",Valencia; Madrid
"Castells Peig, Andreu (or Andrés)",Catalonia
"Castells Roca, Eduard (or Eduardo)",Catalonia
"Castells Sumalla, Josep (or José)",Barcelona
"Castelo, Félix",Madrid
"Castelucho Diana, Claudi (or Claudio)",Barcelona
"Castilian School, Anonymous Painters of",
"Castilian School, Anonymous Sculptors of",
"Castilla, Juan",[n.r.]
"Castillejo, Juan de",Seville
"Castillo Olivares, Pedro del",Canary Islands
"Castillo Saavedra, Antonio del",Córdoba
"Castillo the Elder, Francisco del",Andalusia
"Castillo the Younger, Francisco del",Seville
"Castillo, Agustín (or Augustín) del",Andalusia
"Castillo, Aurelio del",[n.r.]
"Castillo, Fernando del",Madrid
"Castillo, Jorge",
"Castillo, José (or Josef) del",Madrid
"Castillo, Juan del",Seville
"Castro Cires, Raimundo",Castile-Leon
"Castro Gil, Manuel",Galicia
"Castro Llamas, José",Granada; Madrid
"Castro, Bartolomé",Castile
"Castro, Carlos",Madrid
"Castro, Fabián de",Seville
"Castro, Felipe de",Seville; Madrid
"Castro, Francisco",Seville
"Castro, Leonardo Antonio de",Andalusia
"Castro, Manuel",Madrid
"Catalan School, Anonymous Painters of",
"Catalan School, Anonymous Sculptors of",
"Causarás Casaña, Ricardo",Barcelona
"Causarás Tarazona, Lluís (or Luis)",Barcelona
"Cavanna y Pastor, Antonio",Valencia
"Cayón de la Vega, Torcuato",Andalusia
"Cazares, Lorenzo",Burgos
"Ceán Bermúdez, Juan Agustín (or Juan Augustín)",Asturias; Madrid; Seville
"Cebrián García, José",Granada
"Cebrián Mezquita, Julio",Valencia
"Cebrián, Gregorio",Murcia; Madrid
"Cebrián, José",Murcia
"Celis Gutiérrez, Agustín de",Cantabria; Madrid
"Celma, Juan Bautista",
"Celma, Juan Tomás",Aragon; Valladolid
"Centellas Roig, Joan (or Juan)",Barcelona
"Centellas, Luis",Palencia
"Cerdá Bisbal, Lorenzo (or Llorenç)",Balearic Islands; Madrid
"Cerdá Villarestán, Francesc (or Francisco)",Barcelona; Madrid
"Cerdans, José (or Josep)",Barcelona
"Cerezo the Elder, Mateo",Burgos
"Cerezo the Younger, Mateo",Madrid
"Cerezo Vallejo, Angel",[n.r.]
"Cerezo, Mariano",Aragon
"Cervera, (Fray) Blas de",Valladolid
"Cervera, Martín",Salamanca
"Cerveto Riba, Antoni (or Antonio)",Catalonia
"Cerveto Riba, Josep",Catalonia
"Cerveto Riba, Ramon",Catalonia; Bilbao
"Cerveto Riba, Ricard (or Ricardo)",Catalonia
"Cerveto Riba, Víctor",Catalonia
"Cerveto Vestraten, Ramon",Catalonia
"Céspedes, Domingo de",Toledo
"Céspedes, Pablo de",Andalusia; Madrid
"Cetina, Bernardo Juan",Valencia
"Cetina, Francisco (or Francesc)",Valencia
"Chacón, Francisco",Toledo; Granada
"Cháez, Juan",Madrid
"Chafrion, (Mosén) Lorenzo",Valencia; Granada
"Chamorro Aguilar, Joaquín",Barcelona
"Chavarito, Domingo",Granada
"Chaves Ortiz, José",Seville; Madrid
"Checa Delicado, Felipe",Badajoz; Madrid
"Checa Sanz, Ulpiano",Madrid
"Chía Alba, Juan Francisco (or Joan Francesc)",Barcelona; Madrid; Valencia
"Chicharro Agüera, Eduardo",Madrid
"Chicharro Briones, Eduardo",Madrid
"Chicharro Gamo, José",Madrid
"Chico, José Manuel",Barcelona
"Chicote, Victoriano",Valladolid
"Chillida, Eduardo",Guipúzcoa
"Chiodo, B.",[n.r.]
"Chirino, Martín",Canary Islands; Madrid
"Chirinos, Juan de",Madrid
"Choquet, Luciano",Madrid
Christoforus,Castile-Leon
"Churriguera the Elder, José Simón de",Madrid
"Churriguera, Alberto de",Madrid; Salamanca
"Churriguera, Joaquín de",Madrid; Salamanca
"Churriguera, José Benito de",Madrid; Salamanca
"Cidón Navarro, Francisco (or Francesc) de",Valencia; Tarragona; Madrid
"Cieza, José (or Josef) de",Granada; Madrid
"Cieza, Miguel Jerónimo de",Granada
"Cieza, Vicente",Granada; Madrid
"Ciga, Javier",Pamplona; Madrid
"Cil, Manuel",[n.r.]
"Cilla, Francisco Ramón",Madrid
"Cirera, Jaume (or Jaime)",Catalonia
"Ciria, Javier",Saragossa; Barcelona
"Ciruelos González, Modesto",Burgos; Madrid
"Cisneros the Elder, Pedro de",Madrid
"Cisneros the Younger, Pedro de",Toledo
"Cisneros, Pablo de",Toledo
"Civil, José",Barcelona
"Clapera Argelaguer, Pere (or Pedro)",Barcelona
"Claperós the Elder, Antonio",Barcelona
"Claperós the Younger, Antonio",Catalonia
"Claperós, Joan (or Juan)",Barcelona
"Clapés Puig, Aleix (or Alejo)",Barcelona
"Clará Ayats, Joan (or Juan)",Catalonia
"Clará Ayats, Josep (José)",Catalonia
"Clará, C.",Barcelona
"Claramunt Martínez, Agustín (or Agustí, or Augustin)",Barcelona
"Claramunt Poch, Salvador",Barcelona
"Clarasó y Daudí, Enric (or Enrique)",Catalonia
"Claret, Joan (or Juan)",Barcelona
"Clavé Roqué, Pelegrí (or Pelegrín)",Barcelona
"Clavé Sanmartí, Antoni (or Antonio)",Barcelona
"Clavo Gil, Javier",Madrid
"Clavo Gil, Vicente",Barcelona; Balearic Islands
"Clemente, Salvador",Andalusia
"Climent Mata, Francisco (or Francesc)",Valencia
"Climent Palahi, Enric (or Enrique)",
"Climent Pastor, Vicente",Valencia
"Cobo Barquera, Juan José",Santander
"Cobo de Guzmán, José Ignacio",Andalusia
"Cobos Linderman, Josep (or José)",Catalonia
"Codina Sert, Ginés (or Genís)",Barcelona
"Codina y Langlin, Victoriano (or Victorià)",Barcelona
"Coello, Claudio",Madrid
"Colet, Ricardo",Madrid
"Colí, Juan",Seville
"Colinas Quirós, Ceferino",Madrid
"Coll Bardolet, Josep (or José)",Gerona; Balearic Islands
"Coll Gispert, Marcos",[n.r.]
"Coll Pi, Antonio (or Antoni)",Barcelona
"Coll Salieti, Joaquim (or Joaquín)",Barcelona
"Collado y Fernández, Pedro",Castile
"Collado y Tejada, Pedro",Madrid
"Collado, Juan",Valencia
"Collantes, Francisco",Madrid
"Collar, Antonio",Castile
"Collet, Charles",Barcelona
"Colmeiro Guimarás, Manuel",Galicia
"Colmena, Xavier (or Javier)",Madrid
"Colom Agustí, Joan (or Juan)",Barcelona
"Colom, Joan",Catalonia
"Coloma, Luis",
"Colomer Rovira, Trinitat (or Trinidad)",Barcelona
"Colomer, Mariano (or Marian)",Barcelona
"Colonia, Diego de",Burgos
"Colonia, Francisco de",Castile
"Colonia, Juan de",Castile
"Colonia, Simón de",Castile
"Comallonga Palau, Lluís (or Luis)",Barcelona
"Comas Ortega, Pedro",Barcelona
"Comas y Blanco, Augusto",Madrid
"Comba García, Juan",Andalusia; Madrid
"Combar, J.",[Madrid]
"Comes [the Elder], Francesc (or Francisco)",Balearic Islands; Barcelona
"Comes [the Younger], Francesc (or Francesch, or Francesck, or Francisco)",Balearic Islands; Valencia
"Commeleran Carrera, Joan (or Juan)",Barcelona
"Commeleran y Gómez, Alberto",Madrid
"Comontes, Antonio de",Toledo
"Comontes, Francisco de",Toledo
"Comontes, Iñigo de",Toledo
"Conchillos Falcó, Juan",Valencia; Madrid
"Conejo Merino, Andrés",Madrid
"Conejo Merino, Daniel",Castile
"Conill Orriols, Jacint (or Jacinto)",Barcelona
"Conradi, Miguel Angel",Seville
"Contreras Muñoz, José Marcelo",
"Contreras, Antonio de",Andalusia
"Contreras, Antonio de",Sigüenza
"Copín de Holanda [the Elder], Diego",Castile-Leon
"Copín de Holanda [the Younger], Diego",Toledo
"Copín de Holanda, Miguel",Toledo
"Corberó Olivella, Xavier",Barcelona
"Corberó Trepat, Valeri (or Valerio)",Barcelona
"Corbi, Juan",Salamanca
"Corchón, José María",Madrid
"Cordero, F.",[n.r.]
"Córdoba, Benito de",Toledo
"Córdoba, Gonzalo de",Toledo
"Córdoba, Juan de",Córdoba
"Córdoba, Pedro de",Córdoba
"Córdoba, Pedro de",Seville
"Córdoba, School of, Anonymous Sculptors of",
"Cordón Bonet, Faustino",Madrid
"Corell, F.",[n.r.]
"Cornac, Lucas",[Valencia]
"Cornet Palau, Cayetano",Barcelona
"Corominas Casanovas, Joan",Barcelona
"Corona Gómez Gamero, Elías",
"Coronado, Pablo",Andalusia; Madrid
"Coronas, Martín",Huesca; Barcelona
"Corral González, Imeldo",Galicia
"Corral, Jerónimo del",Castile-Leon
"Corral, José",[n.r.]
"Corral, Juan del",Castile-Leon
"Corral, Ruy del",Toledo
"Correa de Vivar, Juan",Toledo
"Correa, Marcos",Seville
"Corredoyra de Castro, Jesús",Galicia
"Corro, Cecilio",Granada
"Corte, Gabriel de la",Madrid
"Corte, Juan de la",
"Cortellini y Hernández, Angel María",Cádiz; Madrid
"Cortellini y Sánchez, Angel",Madrid
"Cortés Bau, José",Valencia
"Cortés Casanovas, Ramón",Catalonia
"Cortés [y] Cordero, Antonio",Seville
"Cortés Echanove, Javier",Madrid
"Cortés Moreno, Rafael",Huelva
"Cortés Pérez, Daniel",Valencia
"Cortés y Aguilar, Andrés",Seville
"Cortés y Cordero, Eduardo",Seville
"Cortezo, Victor María",Madrid
"Cortina Mestre, Daniel",Valencia
"Cortina y Farinós, Antonio",Valencia
"Cosida, Jerónimo",Aragon
"Cossío Villalobos, José",[n.r.]
"Cossío, Mariano de",Valladolid
"Cossío, Pancho",Santander; Madrid
"Costa Baqué, Santiago",Barcelona
"Costa Casas, Pedro (or Pere)",Barcelona
"Costa de Vique, Pablo",Catalonia
"Costa Dequidt, Ferran (or Fernando)",Barcelona
"Costa Segura, Miquel (or Miguel)",Barcelona
"Costa Solé, Josep (or José)",Barcelona
"Costa, Josep",Pontevedra
"Cotter, Emilio",Madrid
"Cotto, Pedro Onofre",Balearic Islands
"Coullaut Valera, Lorenzo",Seville; Madrid
"Covarrubias, Alonso de",Castile
"Covarsí Yustas, Adelardo",Badajoz
"Credensa the Elder, Nicolás de",
"Credensa the Younger, Nicolás de",Catalonia
"Créixams Picó, Pere",Barcelona
"Crespí, Domingo (or Domènec)",Valencia
"Crespi, Leonardo (or Leonart, or Lleonard)",Valencia
"Crespo y Villanueva, Manuel",Madrid
"Crespo, Esteban",Castile
"Cresques, Abraham",Balearic Islands
"Cresques, Jafuda",
"Criado y Baca, Manuel",Málaga
"Cristóbal, Juan",Granada; Madrid
"Cristòfol, Leandre (or Leandro)",Catalonia
"Cros, Joan del",Catalonia
"Cruella, Juan Francisco",Valencia
"Crusells, Pedro (or Pere)",Catalonia
"Cruz Cano y Olmedilla, Juan de la",Madrid
"Cruz Collado, Antonio de la",Madrid
"Cruz Herrera, José",Cádiz
"Cruz Martín, Miguel de la",Castile-La Mancha
"Cruz Solís, Fernando",Andalusia; Madrid
"Cruz y Ríos, Luis de la",Madrid; Málaga
"Cruz, Diego de la",Castile-Leon
"Cruz, Manuel de la",Madrid
"Cuadra Jiménez, Cipriano",Córdoba
"Cuadra, Andrés de la",[n.r.]
"Cuadra, Fernando de la",Seville
"Cuadra, Pedro de la",Valladolid
"Cuairan Blas, Florenci (or Florencio)",Catalonia
"Cuartielles, R.",Barcelona
"Cubas Martín, José",Madrid
"Cuchy Arnau, José (or Josep)",Madrid; Barcelona
"Cuéllar Sánchez, José",Barcelona
"Cueman, Egas",Toledo
"Cuenca Muñoz, Rafael",Andalusia
"Cuenca, Juan",Córdoba
"Cuerda Losa, José Joaquín",Albacete
"Cuervo y Heras, Aquilino",Valladolid
"Cuesta, Guzmán de la",
Cuevas,Huesca
"Cuevas, Eugenio de las",Madrid
"Cuevas, Pedro de las",Madrid
"Cuixart Tàpies, Modest",Barcelona
"Cuquet, Pere (or Pedro)",Catalonia
"Curet Paretas, Llorenç (or Lorenzo)",Barcelona
"Curós Ventura, Jordi (or Jorge)",Catalonia
"Cusachs Cusachs, Josep (or José)",
"Cusí Ferret, Manuel",Catalonia
"Cutanda y Toraya, Vicente",Madrid; Toledo
"Dalguayre, Benet (or Benito)",Tortosa
"Dalí, Salvador",
"Dalmáu, Antoni (or Antonio, or Antonis)",Barcelona; Valencia
"Dalmáu, Lluís (or Ludovicus, or Luis)",Valencia; Barcelona
"Dalre Ambrosí, Carlos",Madrid
Danila,Asturias; León
"Dardanone, José",Balearic Islands
Daros,[n.r.]
"Datsira Prunés, Joaquim (or Joaquín)",Barcelona
"Daunas, Hermenegild (or Hermenegildo)",Barcelona
"Daura, Pierre",Catalonia
"Daurer, Joan (or Juan)",Balearic Islands
"Davalillo Artigas, Carmel (or Carmelo)",Barcelona
"Dávila, Fernando (or Ferrante)",[n.r.]
"Davo Rodríguez, Juan",Canary Islands
"Decraene, Florentino (or Florentín)",Madrid
"Delapuente, Fernando",Madrid
"Deleito, Andrés",Madrid; Segovia
"Delgado Brackembury, Manuel",Seville
"Delgado y Meneses, José",Madrid
"Delgado, Alvaro",Madrid
"Delgado, Juan",Seville
"Delgado, Pedro",Toledo
"Delgado, Pedro",Castile; Estremadura; Andalusia
"Delgado, Pedro",Málaga
"Delgado, Pedro",Saragossa; Castile
"Delgado, Pedro",Seville
"Delhom Rodríguez, Camilo",Madrid
"Demeces, M.",Lérida
"Demilavel, R.",Lérida
"Denis Belgrano, José",Málaga
"Destorrents [the Younger], Ramon",Barcelona
"Destorrents, Rafael",Barcelona
"Destorrents, Ramon",Barcelona; Balearic Islands
"Díaz Alberro, Joaquín",Madrid
"Díaz Bueno, José",
"Díaz Caneja, Juan Manuel",Castile
"Díaz Carreño, Francisco",Seville; Madrid
"Díaz Costa, Eusebi (or Eusebio)",Catalonia
"Díaz de Burgos, Gómez",Castile
"Díaz de la Cueva, Gonzalo",Seville
"Díaz de Oviedo, Pedro",Navarre
"Díaz Domínguez, Angel",La Rioja; Madrid
"Díaz Gómez, Isaías",Estremadura; Madrid
"Díaz Huertas, Angel",Andalusia
"Díaz Méndez, José Clemente",Seville
"Díaz Minaya, Pedro",Valladolid
"Díaz Olano, Ignacio",Basque Country
"Díaz Pardo, Isaac",Galicia
"Díaz Valdés, Tomás",Madrid
"Díaz Valera, José",Seville
Díaz Valle,[n.r.]
"Díaz y González, Vicente",La Coruña
"Díaz y Sánchez, Angel",Madrid
"Díaz, Diego Antonio",Seville
"Díaz, Diego Valentín",Valladolid
"Díaz, Francisco",Madrid
"Díaz, Gonzalo",Seville and Cádiz
Diego,[n.r.]
"Díez de Liatzasolo, Martín (or Martí)",Catalonia
"Díez Ferreras, Diego",Valladolid
"Díez Penades, José",Valencia
"Díez, Joaquín",Seville
"Díez, Pedro (or Pere)",Catalonia
"Dolívar, Juan (or Jean)",Saragossa
"Domecq González, Manuel Jesús",Andalusia
"Domecq, Cristian",Madrid
"Domènech Ferré, Eduard",Barcelona
"Domènech i Montaner, Lluís (or Luis)",Barcelona
"Domenge Antiga, Melcior (or Melchor)",Catalonia
Domingo,Castile-Leon
Domingo,Castile-Leon
Domingo,
"Domingo Fallola, Roberto",Madrid
"Domingo Marqués, Francisco",Valencia
"Domingo Muñoz, José",[n.r.]
"Domingo Segura, Francesc (or Francesco)",Barcelona
"Domingo, Benet",Barcelona
"Domingo, Gregorio",Madrid
"Domingo, Luis (or Luiz, or Luys)",Valencia
"Domínguez Bécquer, Joaquín",Seville
"Domínguez Bécquer, José",Seville
"Domínguez Bécquer, Valeriano",Seville
"Domínguez Meunier, Manuel",Madrid
"Domínguez Sánchez, Manuel",Madrid
"Domínguez, Oscar",Canary Islands
"Doncel, Guillén",León
"Dorado, Manuel",Madrid
"Dorda Rodríguez, Enrique",León; Valencia
"Duarte, Angel",Cáceres
"Duarte, José",Córdoba
"Duce, Alberto",Madrid
"Dueñas y Zabala, Valentín",[n.r.]
"Dunyac Sala, Josep",Barcelona
"Duque Cornejo, Pedro",Seville
"Duque y Duque, Eugenio",Madrid
"Duque, Manuel",Barcelona; Madrid
"Durán Altamira, Ricardo (or Ricard)",Barcelona
"Durán Castellanas, Jaime (or Jaume)",Barcelona
Durán Fainé,[n.r.]
"Durán Riera, Josep (or José)",Barcelona
"Durán, Luís María",[n.r.]
"Durán, Rafael",Barcelona
"Durancamps Folguera, Rafael",Catalonia
"Durand, Robert",[n.r.]
"Durbán Bielsa, Martín Ramón",Aragon
"Durrio y Madrón, Francisco",Basque Country
"Echandi, Ignacio",Basque Country
"Echeandía, Julio",Basque Country
"Echena, José",Basque Country
"Echevarría y Zuricalday, Juan de",Bilbao; Madrid
"Echevarría, Federico",Basque Country
"Echevarría, José Atanasio",[n.r.]
"Eder y Gattens, Federico María",Seville
"Ega, Pedro de",Burgos
"Egas the Younger, Enrique",Castile-La Mancha
"Egas, Antón",Toledo; Salamanca; Seville
"Egas, Enrique (or Enric)",
"Egas, Pedro de",Toledo
"Egea y Marín, Juan",Madrid
"Egusquiza Barrena, Rogelio de",Cantabria
"Elbo, José",Andalusia
Eleno,[n.r.]
"Elías Bracons, Feliú (or Félix)",Barcelona
"Elías Bracons, Francesc",
"Elías Bracons, Lluís",Barcelona
"Elías Vallejo, Francisco",Madrid
"Elorriaga, Ramón de",Bilbao
Emeterio,León
Endura,Castile-Leon
Eneco,San Millán de la Cogolla?
"Enrich, Juan (or Joan)",Barcelona
Ericono,Silos
"Eriz, Pedro",Barcelona
"Escacena, José María",Seville
"Escalante, Juan Antonio de Frías y",Madrid
"Escaler Milá, Lamberto (or Lambert)",Barcelona
"Escolá, Salvador",Barcelona
"Escribá García, Casimiro",Valencia
"Escrivá y Cantos, Fernando",Valencia
"Escuder Ferrer, Manuel",Barcelona
"Escudero, Francisco",Aragon
"Espalargues [the Elder], Pere (or Pedro)",Barcelona
"Espalargues [the Younger], Pere",Barcelona
"Espalter Rull, Joaquim (or Joaquín)",Barcelona; Madrid
"Espartero, E.",[n.r.]
"Esparza y Pérez, Nicolás",Madrid; Navarre; Biscay
"Espí, Manuel",Granada
"Espina y Capo, Juan",Madrid
"Espinabete, Felipe de",Valladolid
"Espinal Armengol, Marià (or Marian, or Mariano)",Barcelona
"Espinal, Gregorio",Seville
"Espinal, Juan de",Seville
"Espinós, Benito",Valencia
"Espinós, José",
"Espinós, José (or Ioseph, or Josef)",Valencia
Espinosa,[n.r.]
"Espinosa de Castro, Jacinto",Valencia
"Espinosa, Alonso de",Castile-Leon
"Espinosa, Andrés de",Castile-Leon
"Espinosa, Angel",Basque Country
"Espinosa, Carlos",Madrid
"Espinosa, Francesc",Gerona
"Espinosa, Jerónimo Jacinto (or Jeroni Jacint) de",Valencia
"Espinosa, Jerónimo Rodríguez de",Valencia
"Espinosa, José",Seville
"Espinosa, Juan Bautista",Madrid; Toledo
"Espinosa, Juan Bautista (or Joannes Baptista)",Madrid
"Espinosa, Juan de",Navarre
"Espinosa, Juan de",Valladolid
"Espinosa, Juan de",Córdoba
"Espinosa, Miguel de",Castile-Leon
"Espinosa, Miguel de",Aragon
"Esplandiu Peña, Juan",Barcelona; Madrid
"Esquert, Pablo",Saragossa; Navarre
"Esquivel Sotomayor, Manuel",Madrid
"Esquivel, Antonio María",Seville; Madrid
"Esquivel, Carlos María",Madrid
"Esquivel, Miguel de",Seville
"Esquivel, Vicente",Andalusia; Madrid
"Estalella Pujolá, Ramón",Madrid
"Estany Capellá, Pedro (or Pere)",Catalonia; Madrid
"Esteban y Lozano, José",Madrid
"Esteban y Lozano, Víctor",Madrid
