WNAM,SCHN
"Laiglesia de Gamero, Dolores",Seville
"Laiglesia, Amelia R. de",Madrid
"Lamas y Cuadrado, Asunción",Seville
"Lambla, Fany",Salamanca
"Lárraga, Josefa María (or Josepha María)",Valencia
"Laurens Pardo, Margarita",Barcelona
"Legísima, Carmen de",Galicia
"Leigonier, Enriqueta",Seville
"Lengo, Clara",Madrid
"Lerdo de Tejada, Mercedes",Seville
"Leroux de Pérez Comendador, Magdalena",
"Leza y Agort, Irene",Madrid
"Lezcano Saracho, Aurora (Marquesa de O'Reilly (or O'Reille))",Madrid
"Llimona Benet, Maria",
"López Cancio, Mariana",
"López Castrillo, Flora",Madrid
"López del Baño y Diosdado, Josefa",Seville
"López Díaz, María",Madrid
"López Fernández, Julia",Valladolid
"López González, Luisa",Madrid
"López Ortíz, Clementina",Madrid
"López Salzillo, Emilia",Murcia
"López San Román, Romana",Madrid
"López, María",Madrid
"Lorenzo y González, Matilde",Madrid
"Lostau Espinet, Teresa",Barcelona
"Lozano Capellán de Casado, Mercedes",Valladolid
"Luna, Petra",Valladolid
"Madasín, Teresa",Saragossa
"Mallo, Maruja",Madrid
"Manso y Chaves, Bernarda (Marquesa de la Lapilla y Monasterio (or Monesterio))",
"María Cristina de Borbón (Reina de España), [S.M.] (Doña)",
"María Francisca de Braganza (Infanta de Portugal y España), [S.A.R.] (Doña)",
"María Luisa de Borbón (Reina de España), [S.M.] (Doña)",
"Martí Sancho, Maria",Catalonia
"Martín de Campo, Victoria",Cádiz
"Martínez Aledo, Luisa J.",Murcia
"Martínez, Soledad",Barcelona
"Matilla Alonso, Nicanora",Castile
"Maurer, Juana",
"Mayans y Pastor, Josefa (or Josepha)",Valencia
"Mayor de González, Dolores",Cádiz
"Medina Castro, Elvira",Valladolid
"Medina, Antonia",Catalonia
"Meléndez y Durazzo, Francisca Efigenia",Madrid
"Meléndez, Ana (or Ane)",Madrid
"Mena y Bitoria, Andrea",Andalusia
"Mena y Bitoria, Claudia",Andalusia
"Menassade, Emilia (or Emile, or Emilie)",Madrid
"Mendeville de Flórez, María",Cádiz
"Mexía y Sales, Casilda",Madrid
"Michel, Bibiana",Madrid
"Milla, Josefa",Málaga
"Millán Alosete, Paula",Barcelona
"Millán Pérez, Milagros",Madrid
"Millioud Grand Pierre, Eugènia",Barcelona
"Miñano y Ramírez, María Eugenia de",Valladolid
"Mínguez Rico, Angela",Catalonia
"Minguillón Iglesias, Julia",Madrid
"Miqueo Francés, María",Catalonia
"Mir Trinxet, Joana (or Juana)",Barcelona
"Mir, Rosa",Catalonia
"Mira, María",Alicante
