"Guerrero Carmona, Rafael",1882-[doc.1884,1882-[doc.1884
"Gutiérrez Rivera, Francisco",1892-op.1899,1892-op.1899
"Guzmán, Jorge",1915,1951
"Guzmán, Juan Bautista",1876-op.1895,1876-op.1895
"Haza y Astier, José de la",1875,1906
"Hernández, Amado",1905/1906,1927
"Herreros de Tejada, Luis",1867,1890
"Hoyo y González, Jose María del",1910-1926,1910-1926
"Huarte Mendicoa y Marín, Vicente",1910,1910
"Hurtado y Corral, Carlos",1871-1899,1871-1899
"Hurtado, Vicente",1868,1868
"Ibáñez Belda, Martín",1892-1895,1892-1895
"Ibáñez Flórez, Eduardo",1871-1889,1871-1889
"Ibáñez García de Lara, Vicente",1886,1932
"Iglesias Recio, Manuel",1904-1908,1904-1908
"Iniesta Soto, Pedro",1880-1922,1880-1922
"Isern Solé, Ramon",1914,1954
"Izquierdo Cid, Carlos",1891,1944
"Izquierdo, Vicente",1858-1884,1858-1884
"Jansana de Anzizu, Josep Oriol (or José Oriol)",1913,1974
"Jener Carreras, Eduard (or Eduardo)",1882,1944
"Jiménez Fernández, Federico",1841,1895
"Jiménez Pez, Marino",1878,1878
"Jiménez, Antonio",1930-1932,1930-1932
"Jiménez, Guillermo",1878,1878
"Jiménez, Juan Miguel",1927,1927
"Juliá Entraigues, Rafael",1873-1897,1873-1897
"Juliá Ventura, Francesc (or Francisco)",1900,1980
"Juliá y Carrere, Luis",1864,1908
"Kaperotxipi, Mauricio Flores",1901,1991
"Lafuente, Ramiro",1884,1884
"Laguardia, Jorge",1880-1882,1880-1882
"Lagunas, Santiago",1912,1993
"Lambla, Julio",1871-1873,1871-1873
"Lantada Bucy, Jesús",1920-1926,1920-1926
"Lara y García, Eustasio",1892,1892
"Larmig, Luis",1887-1897,1887-1897
"Larrauri Marquínez, José Mateo",1885,1924
"Leemans Dobbeleere, Jean Humbert",1913,1984
"Legua Ibáñez, Francisco",1887,1926
"Lema y Rozones, Manuel de",1878,1878
"León Callejas, Vicente",1906,1906
"Les Bustamante, Santiago de",1897,1951
"Linde, Paulino de la",1837,1862
"Llavata Machinant, Luis",1911,1951
"Lleó e Ibars, Trino",1901,1901
"Lleonart, Benito",1860,1890
"Llobet Banús, Tomás",1900,1923
"Llongarriu, Salvador",1869,1917
"Llor Casanovas, Joan (or Juan)",1919,1944
"Longoria y Leal, Manuel",1890-1895,1890-1895
"López de Montenegro y Tejada, Antonio",1900,1957
"López Fernández, Rogelio",1880,1927
"López Rubio, Francisco",1915-1933,1915-1933
"López Ruiz, Manuel",1872,1951
"López-Roberts y Muguiro, María de los Angeles",1920-1963,1920-1963
"Lorda, José María",1911,1951
"Lorenzo Solís, José de",1916,1976
"Lozano Sanchís, Francisco",1912,1993
"Lozano y Rodríguez, Eduardo",1887-1927,1887-1927
"Ludeña, Angel Lucio",1862-1866,1862-1866
"Madrid Roberts, Roberto",1902,1944
"Maicas Puigardeu, Vicenç (or Vicente)",1910,1950
"Malla, Gaudencio",1901,1901
"Mallafré Guasch, Lluís (or Luis)",1896,1979
"Mandilego, Matías",1919,1984
"Manresa, José María",1874-1884,1874-1884
"Manzanet, Ricardo",1888,1888
"Marced Furió, José",1896,1926
"Marco Ferrer, Ernesto (or Ernest)",1911,1983
"Marín López, Diego",1890,1890
"Marín Ramos, Eustaquio",1873,1917
"Marinel.lo Capdevila, Antoni",1901,1984
"Marinel.lo Capdevila, Ramon",1911,1994
"Marqués Castellar, Antoní (or Antonio)",1915,1951
"Martí Caballero, Ramon",1915,1983
"Martí Jordana, Josep Maria",1912,1946
"Martín Bueno, Joaquín",1913,1951
"Martín González, Julio",1909,1941
"Martín González, Manuel",1905,1951
"Martín Laurel, Eugenio",1897-1901,1897-1901
"Martín, Enrique",1856-[doc.1884,1856-[doc.1884
"Martínez Almeida, Carlos",1908,1951
"Martínez Andrés, Antonio",1945,1945
"Martínez Cabezas, Arturo",1899,1950
"Martínez Díaz, Rafael",1915,1977
"Martínez Jerez, Miguel",1899,1928
"Martínez Penella, Antonio",1917,1948
"Martínez Salamanca, Lázaro",1910,1944
"Martínez Sierra, Benito Jesús",1897-1901,1897-1901
"Martínez y Vargas Machuca, Luis",1895,1928
"Martos Ortiz, Rufino",1912,1944
"Mas Mas, Ramon",1911,1983
"Mas y Carrasco, Francisco",1884-1895,1884-1895
"Maspóns Ortega, Alejandro",1915,1944
"Matia Pascual, Juan",1901,1951
"Matoses Català, Consuelo",1911,1944
"Matute Parga, Benigno",1897-1899,1897-1899
"Mayol Treserra, Lluís",1918,1946
"Mazuelos, José Luis",1911,1951
"Medina Castro, José Luis",1909,1988
"Meifrén Pajarín, Javier",1898,1944
"Meléndez y Conejo, Gerardo",1856,1876
"Mellado, Federico",1913,1951
"Méndez, Sebastián",1909,1951
"Mensa Salas, Manuel (or Manel)",1875,1929
"Mercar, Antonio",1788,1808
"Merenciano Puchol, Francisco",1883,1934
"Merino Martínez, Antonio",1903,1951
"Millà Rigol, Angel",1919,1982
"Millán Ferriz, Emilio",1871,1959
"Millán, Francisco",1773,1804
"Millán, Francisco",1778,1837
"Millas, Isidoro (or Isidro)",1897-1899,1897-1899
"Mingo López, Carlos",1891,1924
"Mingorance Navas, Juan Eugenio",1906,1987
"Mirabent Soler, Antonio",1873,1898
"Miralles Darmanin, José (or Josep)",1851,1912
"Miralles Gacia, Nicolás",1911,1948
"Miranda, Rogelio",1910,1910
"Miret Aleu, Josep (or José)",1912,1945
"Modolell Lluch, Francesc Xavier",1917,1960s
"Modolell Marqués, Enric (or Enrique)",1901,1967
"Molina Sánchez, José Antonio",1918,1985
"Molina Torres, Antonio",1895,1944
"Moncada Calvache, José",1895,1944
"Monero, Luis",1899,1899
"Monrós Julià, Alfred  (or Alfredo)",1900,p.1948
"Monsalve Caruz, Ramón",1941,1941
"Montané Mollfulleda, Lluís",1905,1986
"Montañes, José",1917,1956
"Montes Iturrioz, Gaspar",1901,1994
"Mora Cirujeda, Luis",1905,1951
"Moragas Botey, Salvador",1911,1944
"Morales Marín, Miguel",1897-1901,1897-1901
"Morales, Sofía",1917,1989
"Morata Petit, Eusebio",1904,1904
"Moré de la Torre, Francisco",1920,1920
"Moreira Ramírez, Gonzalo",1910-1912,1910-1912
"Moreno Sastre, Segundo",1901-1906,1901-1906
"Moreno, Eloy",1916,1951
"Mota y Morales, Vicente",1881-1906,1881-1906
"Moya Martí, Enric (or Enrique)",1892-1918,1892-1918
"Mucientes, Manuel",1887,1951
"Mundó, Ignasi (or Ignacio)",1918,1988
"Muñiz Mendoza, Marcial",1892,1941
"Muñoz Condado, Pedro",1903,1979
"Muñoz Díaz, Manuel",1887-1923,1887-1923
"Muñoz Melgosa, José María",1897,1934
"Muñoz Rubio, Ramón",1878-1910,1878-1910
"Muntadas de Caparà, Maria",1900,1926
"Nadal Horrach, Ramón",1913,1973
"Navarro Escuder, Pere (or Pedro)",1898,1898
"Navarro Romero, Vicente (or Vicenç, or Vicent)",1888,1976
"Nido Navas, Antonio",1884,1893
"Noguera Prat, Pilar",1892,1892
"Nuet Martí, Josep Maria (or José María)",1914,1944
"Núñez Carnicer, Ramón",1899,1944
"Núñez González, Constancio",1927,1927
"Núñez Miguez, José",1898,1930
"Oates Coris, Jaime",1912,1944
"Obiols Delgado, Gustau (or Gustavo)",1858,1902
"Ochoa Blanco, Gabriel",1877,1921
"Ocón Toribio, Adolfo",1863,1910
"Odena Daura, Isidre (or Isidro)",1910,1951
"Oliver Mauprivez, Amado",1896,1942
"Oliveras Guart, Angel",1900,1929
"Ortí Vitales, Marcelli (or Marcelino)",1911-1919,1911-1919
"Ortiz Birasel, José",1927,1927
"Ortiz Comellas, Nieves",1915,1965
"Osmundo Gómez, Gabriel",1890-1904,1890-1904
"Oteiza, Jorge de",1908,1990
"Pagès López, Enric (or Enrique)",1908,1944
"Palacio de Azaña, Fernando",1899-1904,1899-1904
"Palacio, José del",1902/1903,1927
"Palao Ortubia, Luis",1863,1904
"Palau Buxó, Joan (or Juan) de",1919,1986
"Palau Oller, Josep (or José)",1888,1960
"Palau, Josep (or José)",1932-1935,1932-1935
"Palencia Ubanell, Gabriel",1869,1901
"Palet Batiste, Joan (or Juan)",1911,1980
"Pallarès Torruella, Lluís (or Luis)",1914,1946
"Palmarola Romeu, Ramon",1877,1944
"Pardo Galindo, Victoriano",1918,1967
"Parra de Lanvin, Angeles",1905,1944
"Parra Piquer, José Felipe",1824,1864
"Pascual Bosom, Camilo",1903,1948
"Pascual Monturiol, Eduard (or Eduardo)",1882,1930
"Pascual Ribera, Alfredo (or Alfred)",1906,1948
"Pastor Barón, Jaime",1901-1942,1901-1942
"Pastor Valsero, Dionisio",1890-1892,1890-1892
"Paternina García-Cid, Enrique (or Enric)",1866,1910
"Pedragosa Torres, Joan (or Juan)",1897,1965
"Pelfort Planell, Joan (or Juan)",1915,1951
"Peña, Polonia de",1922,1922
"Pérez de Valluerca, Eusebio",1887-1892,1887-1892
"Pérez Lizano, Julio",1904,1951
"Pérez Martínez, Manuel",1895-1896,1895-1896
"Pérez Martínez, Tomás (or Thomas)",1911,1988
"Pérez Ripoll, Julio",1915,1950
"Pérez Vicente, Enrique",1907,1951
"Picó Ribera, Hernán",1911,1985
"Pico, José",1904,1970
"Picola Hernández, Gonzalo",1896,1944
"Pieltain Bartolí, Luis",1912,1912
"Pinazo de Fernández Longoria, Marisa",1912,1936
"Piquet Catulí, Josep  (or José)",1891-1904,1891-1904
"Pla y Bo, Salvador",1848,1878
"Planas Guasch, Fernando",1913,1944
"Plans Sola, Josep (or José)",1894,1944
"Polanco y Crespo, Victoriano",1880-1890,1880-1890
"Porset y Martínez, Emilio",1897-1901,1897-1901
"Potau Torre de Mer, Artur (or Arturo)",1886,1961
"Pou Bosch, María",1926-1929,1926-1929
"Pous Palau, Antoni (or Antonio)",1870,1946
"Poy Dalmau, Emilio",1876,1930
"Poy Dalmau, Manuel",1890-op.1908,1890-op.1908
"Pozo y la Orden, Julián",1876-1900,1876-1900
"Pradell Pujol, Damià (or Damián)",1896-1937,1896-1937
"Pratginestós de Bonaparte, Eduard (or Eduardo)",1899,1944
"Prevosti Casanova, Antoni (Or Antonio)",1879,1944
"Prieto Coussent, Benito",1907,1948
"Pueyo Matanza, José",1895-1912,1895-1912
"Pulido Fernández, Ramón (or Rémon)",1868,1919
"Querol Eloy, Jaume (or Jaime)",1890,1944
"Quesada, Augusto Manuel",1842-op.1881,1842-op.1881
"Quintana Montoto, Sócrates",1892,1970
"Ramírez, Antonio",1942,1942
"Ramos Artal, Manuel",1876-op.1910,1876-op.1910
"Rebarter Gasulla, Josep",1894-1911,1894-1911
"Regidor Gómez, Santiago",1865,1897
"Reinés, Antoni (or Antonio)",1847,1877
"Renom de Gárate, Miquel (or Miguel)",1912,1951
"Revuelta, Rafael",1913,1951
"Rey Padilla, Sebastián",1910,1950
"Reyes Barroso, Alonso",1912,1951
"Ribas Bertran, Marian (or Marià, or Mariano)",1902,1975
"Ribed y Andriani, Alberto",1897-1904,1897-1904
"Ribera Gómez, Francisco",1907,1974
"Ribot Deu, Josep (or José)",1916,1984
"Ricart Serra, Manuel",1913,1984
"Ridaura Casademont, Carles",1888,1944
"Riera Rojas, Roc (or Roque)",1913,1984
"Riera Sicart, Juan",1911,1944
"Rincón García, Carlos",1916,1957
"Riosca, Joaquín",1927,1927
"Ripoll Plana, Lluís (or Luis)",1912,1944
"Riu Baragnes, Pere (or Pedro)",1907,1944
"Robles Quintana, Angel",1885,1923
"Roca Carrasco, Joaquín",1897,1923
"Rocamora, Manuel",1892,1964
"Rocha Canals, Luis Eduardo de la",1887,1936
"Rocha y González, Eduardo de la",1892-1910,1892-1910
"Rodríguez Moya, Rafael",1892,1952
"Rodríguez Olavide, Genaro",1871,1878
"Rodríguez, José Julio",1916,1951
"Rodríguez, Santiago",1913,1951
"Roé Claramunt, Joan (or Juan)",1913,1988
"Roger y Alba, José",1887,1887
"Roig Estradé, Pau (or Pablo)",1914,1944
"Roiz, Pilar",1912,1951
"Romero Escasi, José",1914,1951
"Romero Jiménez, Rafael",1887-1895,1887-1895
"Romero Mateo, Angel",1870,1904
"Rosell Altimira, Antoni (or Antonio)",1906,1977
"Rovira Soler, Josep (or José)",1900,1980
"Rubio Jiménez, Mariano",1912-1922,1912-1922
"Rueda, Miguel",1912,1951
"Ruiz Martínez, Ezequiel (or Ecequiel)",1897-1901,1897-1901
"Ruiz Morales, Francisco",1910,1910
"Ruiz Morquecho, Valentín",1912,1954
"Rumoroso y Valdés, Enrique",1878-1895,1878-1895
"Sabater Vilar, Jesús",1907,1944
"Sabatés Andorrà, Salvador",1901,1946
"Saborit y Aroza, Enrique",1887-1897,1887-1897
"Sagnier Vidal, Manuel",1891,1953
"Sales Roviralta, Francesc (or Francisco)",1904,1976
"Salgado, Demetrio",1915,1989
"San Gil y Villanueva, Manuel",1876-doc.1891,1876-doc.1891
"Sánchez Campillo, José",1904,1951
"Sánchez de la Peña, Luis",1895-1904,1895-1904
"Sánchez Díaz, Leopoldo",1830,1881
"Sánchez Ramos, Manuel",1858-doc.1868,1858-doc.1868
"Sánchez, Enrique",1881,1951
"Sansón Martí, José",1910,1944
"Santa Cruz y Bustamante, Ramiro de",1878-1884,1878-1884
"Santa Cruz, Ricardo",1881-1883,1881-1883
"Santa María Nadal, Juan",1920,1920
"Santa Marina, José María",1889,1944
"Santafé Largacha, Antonio",1911,1971
"Santamaría Alvarez, Juan José",1910,1951
"Santana, Tomás",1896,1951
"Santaolaria Montoro, Vicente",1887,1936
"Santos Murillo, Eduardo",1913,1944
"Santos, Miguel de los",1871,1871
"Sanz y de Santos, Santos",1906-1915,1906-1915
"Sanz, Román",1829,1890
"Sarabia-Benítez Ruiz de Esquive, Rafael",1908,1943
"Saumells Panadès, Lluís Maria (or Luis María)",1915,1970
"Savall Romeu, Juan",1892,1944
"Sayol Sala, Tomàs",1908,1969
"Segura Elías, Ramón",1893,1951
"Segura Iglesias, Enrique",1906,1979
"Seix Miralta, Joan",1903,1932
"Sempere Sanchiz, Pascual",1941,1941
"Serra Güell, Eudald (or Eudaldo)",1911,1994
"Serrano Bossio, Pedro",1894,1894
"Servando, Antonio",1913,1951
"Setuain de la Torre, Andrés",1912,1912
"Sevilla y Sánchez, Nicasio",1862,1872
"Silvela Casado, Mateo",1863,1895
"Simonet Castro, Bernardo",1914,1974
"Sivilla Torres, Emili (or Emilio)",1866-doc.1891,1866-doc.1891
"Soler Forcada, Josep (or José)",1891-op.1910,1891-op.1910
"Soligó Tena, Josep (or José)",1918,1944
"Soria Santa Cruz, Enrique",1884-1892,1884-1892
"Soriano Fort, José",1897,1942
"Soto, Roberto",1879-1881,1879-1881
"Suárez Peregrín, José",1908,1941
"Subirats Samora, Josep",1914,1954
"Summers Bradley, Francisco",1890,1944
"Summers e Isern, Ricardo",1908,1977
"Surribes i Riera, Francesc (or Francisco)",1912,1944
"Surroca, Manuel",1917,1951
"Talarn Anglès, Pelegrí (or Pelegrín)",1892-1894,1892-1894
"Tamarit García, José",1896,1951
"Tapiola Gironella, Josep Maria",1919,1985
"Tàrrega Viladoms, Ricard (or Ricardo)",1904,1971
"Tataret Balasch, Josep (or José)",1888,1966
"Terencio Farré, José",1887,1922
"Tharrats, Joan Josep (or Juan José)",1918,1993
"Timón Ambrosio, Mariano",1905,1945
"Toledo Pérez, José Gregorio",1906,1964
"Toledo, Fernando de",1912,1936
"Tordesillas de Lara, Julián",1861,1912
"Torner Guerra, Alberto de",1886,1944
"Torre Isunza, Pedro de",1892,1951
"Torrent Riu, Ramón",1910,1944
"Torres Clavero, Antonio",1948,1948
"Torres González, Antonio",1910,1951
"Tortosa, Francisco",1879/1880,1950
"Triadó Nolla, Alberto",1910,1944
"Tubilla, Julio",1899,1899
"Tusell Graner, Salvador",1894,1894
"Uranga, Santiago",1913,1962
"Uribe Aguirre, Guillermo",1914,1951
"Uruñuela, Jesús",1898,1951
"Valdecara y González, Germán",1849,1887
"Valero Arbiol, Carles (or Carlos)",1889,1950
"Vallcorba y Mexía, Cayetano",1883-doc.1929,1883-doc.1929
"Vallespín y Aivar, José",1858,1858
"Vallmitjana Garrido, August (or Augusto)",1894,1951
"Vargas Ruiz, Guillermo",1910,1986
"Vázquez Aggerholm, Rafael",1911,1951
"Velázquez Espino, Carlos",1919,1951
"Veloso Molina, Ignacio",1898,1915
"Verdes Montenegro, Elena",1924-1930,1924-1930
"Vial Hugas, Eduard (or Eduardo)",1910,1952
"Viaplana Casamala, Santiago",1866-1867,1866-1867
"Vico Hernández, Miguel",1850,1923
"Vidal Abascal, Enrique",1908,1951
"Vidal Galicia, Francesc (or Francisco) (pseud.).",1894,1944
"Vidal Riera, Mateo",1902,1976
"Vidal y Compairé, Florencio",1906-1930,1906-1930
"Vidal, José",1896,1951
"Vidal, Juan",1876,1881
"Vidal-Quadras Veiga, Aleix",1919,1951
"Vila Cañellas, José María (or Josep Maria)",1914,1988
"Vila García, César",1910,1950
"Vilardebó Cirach, Guifré (or Wifredo)",1912,1970
"Vilatobà Ros, Màrius (or Mario)",1907,1944
"Villà Bassols, Guillem (or Guillermo)",1917,1964
"Villa, Federico",1901,1951
"Villalobos Díaz, Miguel",1873,1922
"Villamil Marraci, Bernardo",1878-1884,1878-1884
"Villanua Hervas, José",1908,1951
"Villar, Cesáreo",1910-doc.1928,1910-doc.1928
"Villoro Agell, Joan (or Juan)",1915,1944
"Vives, Màrius (or Mario)",1893,1955
"Woevodsky, Nicolau (or Nicolás) de",1888,1944
"Yanguas y Ortíz, Eugenio",1850,1897
"Ylla Bach, Bernat Calvó",1916,1981
"Zamorano, Angel",1884,1884
"Zaragoza de Navas, Rómulo",1894,1947
"Ziegler, Alberto (or Albert)",1898,1939
