"Miró Amérigo, Concepció (or Concepción)",1882,1882
"Mogas Llupià, Rosa",1904,1944
"Monclar, María Teresa",1898,1922
"Montañés Criquillón, Alicia",1898,1898
"Montero Paullier, Paulina",1918,1918
"Montesinos y Espartero, Virginia",1882,1882
"Montilla Casal, Concepción",1910,1910
"Mora de Falcón, Leticia",1919,1919
"Moreno, María de la Luz",1839,1839
"Moreno, María de la Purificación",1871-1892,1871-1892
"Moreno, Victoria",1842,1842
"Morera Camps, Maria",1912,1912
"Munárriz, María Josefa",1832,1832
"Muñíz, Juana",1882-1884,1882-1884
"Muñoz Calixto, Dolors",1920,1920
"Muñoz de Cacho, Manuela",1860-1862,1860-1862
"Murguiro, Adela de",1887,1887
"Murillo y Bravo de Vela, Josefa",1860-1899,1860-1899
"Murillo, Encarnació",1904,1904
"Noguer, Josefina",1905,1905
"Noriega, María del Milagro",1876-1890,1876-1890
"Nostench de los Ríos, María Teresa",1868,1868
"Notario y Merino, María",1903-1910,1903-1910
"Nouvilas, Pilar",1878-1879,1878-1879
"Núñez y López, Trinidad",1876,1876
"O'Dena, Adelaida",1846-1849,1846-1849
"Oñate, Luisa",1887,1887
"Orozco de Folache, Josefa Elisa",1878,1878
"Ortega de Obregón, Agustina",1901,1901
"Ortiz López, Concepción",1906-1912,1906-1912
"Ovalle y Castañeda, María de",1881-1891,1881-1891
"Oviedo, Antonia",1879-doc.1894,1879-doc.1894
"Padró y Grané, Mercedes",1912-op.1929,1912-op.1929
"Palà Calvo, Joana (or Juana, or Juanita)",1911,1911
"Palacios, Amparo",1912,1951
"Palou, María Ana",1837,1837
"Panyó, María",1803,1803
"Paredes y Ramírez, Angelina",1879,1879
"Pareja, Amparo",1890,1890
"Parés Mundi, Marina",1910,1910
"Pascual de Bonanza, Belén",1882,1882
"Pastor y Vidal, Magdalena",1906,1906
"Pastor, Angeles",1875,1875
"Pastors, Manuela",1849,1849
"Pedro, Aurora de",1876-1884,1876-1884
"Pellicer Martí, Flora",1907,1907
"Pelufo, Matilde",1879,1879
"Penzato Plusquín, Margarita",1902,1956
"Perales, Amalia",1880,1880
"Pérez Alemán, Regina",1857,1888
"Pérez Ballester, Emilia",1922,1922
"Pérez de Gracia, María de los Dolores",1890-1906,1890-1906
"Pérez de la Rivera, Clotilde",1866,1866
"Pérez, María de la Concepción",1858,1858
"Pla, Teresa",1898,1898
"Planas, Pilar",1916,1972
"Planell Poletti, Montserrat",1898,1926
"Plenee, Llüisa (or Luisa) de",1894,1894
"Poleró y García, Consuelo",1897-1899,1897-1899
"Pomar Farriols, Paulina",1898,1898
"Pons Cavaller, María del Rosario (or Roser)",1907-1912,1907-1912
"Pons Iranzo, Elisabet (or Elisabeta)",1912,1975
"Portella Estrada, Pilar",1904-1911,1904-1911
"Pozas, Magdalena",1867-1868,1867-1868
"Prat Torres, Concepció (or Concepción, or Conxa)",1918-1920,1918-1920
"Prats de Presas, Maria dels Dolors (or María de los  Dolores)",1911-1926,1911-1926
"Prats Juani, Rosa",1919-1921,1919-1921
"Prats Petit, Teresa",1918,1918
"Puente, Concha de la",1892,1892
"Puig Cisa, Teresa",1917,1978
"Puig de Marqués, Rosa",1892,1892
"Puiggarí de Ulsamer, Julia",1873,1918
"Puiggener y Sánchez, María Luisa",1875,1921
"Puiggener, Lluïsa (or Luisa)",1907,1907
