WNAM,FEM
"Badrinas Escudé, Antonio (or Antoni)",
"Baeza Gómez, Manuel",
"Baeza y Carrillo, Marcos",
"Baeza, Francisco de",
"Baeza, Gaspar de",
"Bagés Jané, Josep",
"Bahamontes, José",
"Baixas Carreté, Juan (or Joan)",
"Baixeras Verdaguer, Dionís (or Dionisio)",
"Bal, Josep",
"Balaca y Canseco, Eduardo",
"Balaca y Canseco, Ricardo",
"Balaca y Carrión, José",
"Balaguer, Juan Bautista",
"Balasanz Sánchez, Victorino",
"Balasch Mateu, Mateo (or Mateu)",
"Balcells Balcells, Josep (or José)",
"Balcells, Dalmau",
"Balduque, Roque de",
"Ballester Ayguals de Izco, Juan (or Joan)",
"Ballester Ballester, Joaquín (or Joaquim)",
"Ballester Besalduch, Agustín (or Agustí)",
"Ballús Burguete, Josep (or José)",
"Balsa de la Vega, Rafael (or Rafel)",
Baltario,
"Banchs Burch, Joan (or Juan)",
"Banda y Pineda, Eduardo",
"Bañuls Aracil, Vicente",
"Baqué Mercader, Isidro",
"Baqué Mercader, José",
"Baquero, Mariano",
"Bara, Agustín",
"Barahona, José",
"Barahona, Sebastián de",
"Barba, Ramón",
"Bárbara y Balza, Joaquín",
"Barbasán Lagueruela, Mariano",
"Barbeta Antonés, Joan (or Juan)",
"Barceló Albadalejo, José",
"Barceló Oliver, Pedro J.",
"Barceló, Joan (or Juan)",
"Barcelona Simón, Luis",
"Barcelona, School of, Anonymous Painters of",
"Barcelona, School of, Anonymous Sculptors of",
"Barcia y Pavón, Angel",
"Barciela, José",
"Barco, Alonso del",
"Barco, García del",
"Bardasano Baos, José",
"Barea, Gumersindo",
"Bargués Asensio, Rafael",
"Bargués, Arnau",
"Barjola, Juan",
"Barnadas Fábregas, Ramón",
"Baró, Bartolomé (or Bartomeu, or Bertomeu)",
"Baroja Nessi, Ricardo",
"Barragán Montemayor, Pedro",
"Barral López, Emiliano",
"Barrau Buñol, Laureano (or Laureà)",
"Barray, Antonio (or Antoni)",
"Barrenechea Tubilla, José (or Josep)",
"Barrera Díaz, Julio",
"Barrera Martín, Roberto",
"Barrera, Francisco",
"Barrillón Paradell, Josep",
"Barrios, Manuel",
"Barroeta y Anguisolea, Juan de",
"Barrón González, Eduardo",
"Barrón y Carrillo, Manuel",
"Barroso, Miguel",
"Barrueta Asteínza, Benito",
"Barruso, Epifanio",
"Barrutia, Lorenzo",
"Bartolí, Josep (or Joseph)",
Bartolomé,
"Bartolozzi, Salvador",
"Bas Gelabert, Ramón",
"Bas, (Mosén) Pedro",
"Bascardo, Juan",
"Basiano Martínez, Jesús",
"Bassa, Arnau (or Arnaldo)",
"Bassa, Ferrer (or Ferrarius)",
"Bassegoda Amigó, Joaquín (or Joaquim)",
"Bassó Vila, Jacinto (or Jacint)",
"Bastardes Parera, Rafael",
"Basterra y Berastegui, Higinio",
"Basterretxea Arzadun, Néstor",
"Bastida y Fernández Espino, José de la",
"Bataller Giralt, Rafael",
"Batiztutzzi, Aquiles (or Achile)",
"Batlle Ametlló, Esteve (or Esteban)",
"Batlle Mir, Jaume (or Jaime)",
"Baudet Oliver, Mario",
"Bausá, Gregorio",
"Bautista, Juan",
"Bautista, Juan",
"Bauzá Mas, Juan (or Joan)",
"Bauzil, Juan (or Jean)",
"Bayarri Ferricol, Arturo",
"Bayeu y Subías, Francisco",
"Bayeu y Subías, (Fray) Manuel",
"Bayeu y Subías, Ramón",
"Bayo Bergalí, Antonio",
"Bayuco, Juan Bautista",
"Bea Pelayo, Luis",
"Bea Pons, Isidor (or Isidoro)",
"Bea, Manuel (or Manolo)",
Beato de Liébana,
"Beatriz de Borbón y Battenberg, (Infanta de España), [S.A.R.] Doña",
"Beaugrant, Guiot (or Guyot) de",
"Beautell Meléndez, Ernesto",
"Beauvés, Fray Juan de",
"Becerra, Antón",
"Becerra, Francisco",
"Becerra, Gaspar",
"Bécquer Domínguez, Carlos (or Carles)",
Bedoyere,
"Béjar Novella, Pablo Antonio",
Belasco,
"Belcove, Enrique",
"Belda Ibáñez, Joaquín María",
"Belli, Benito (or Benet)",
"Bellmunt Trafach, Antoni (or Antonio)",
"Bellmunt Trafach, Jaume (or Jaime)",
"Bello Piñeiro, Felipe",
"Bello, Pedro",
"Belluga, Vidal",
"Bellver [y Collazos], Mariano (or Marian)",
"Bellver e Iñigo, Mariano",
"Bellver Ferriol, Manuel",
"Bellver y Collazos, Francisco",
"Bellver y Collazos, José",
"Bellver y Llop, Francisco",
"Bellver y Llop, Pedro",
"Bellver y Ramón, Ricardo",
"Belmonte y Vacas, Mariano",
"Beltrán Grimal, Vicente",
"Beltrán Massés, Federico (or Frederic)",
"Beltrán, (Fray) Domingo",
"Beltrán, Juan Bautista",
"Benavent Calatayud, José",
"Benavent Rocamora, Gaietà (or Cayetano)",
"Benavent Santandreu, Joan (or Juan)",
"Benavides, Alfonso",
"Benavides, Vicente (or Vincente) de",
"Benedicto García, Manuel",
"Benedito Vives, Luis",
"Benedito Vives, Manuel",
"Benet Espuny, José",
"Benet Vancells, Rafael",
"Bengoa, Francisco",
"Bengoechea, Ambrosio de",
"Benjumea, Rafael",
"Benlliure Ortiz, José (or Josep)",
"Benlliure y Gil, Blas",
"Benlliure y Gil, José (or Josep)",
"Benlliure y Gil, Juan Antonio (or Joan Antoni)",
"Benlliure y Gil, Mariano (or Marià)",
"Benlloch Casares, Julio",
"Bennàssar, Dionís",
"Beobide, Julio",
"Berdejo Elipe, Luis",
"Berdusán, Vicente",
"Berga Boix, Josep (or José)",
"Berga, Nicolau (or Nicolaus) de",
"Bergé Larrosa, Josep (or José)",
"Bergnes Soler, Guillem",
"Bermejo Sobera, José",
"Bermejo, Bartolomé",
"Bermejo, Enrique",
"Bermúdez Gil, Federico",
"Bermudo Mateos, José",
"Bernardo, Ricardo",
Bernardus,
"Bernat [the Elder], Martín",
"Bernat [the Younger], Martín",
"Bérriz, Domingo de",
"Berrocal, Miguel (or Michel)",
"Berrueta, Juan de",
"Berruguete, Alonso",
"Berruguete, Inocencio",
"Berruguete, Pedro",
"Bertodano, Luis",
"Bertuchi Nieto, Mariano",
"Beruete y Moret, Aureliano de",
"Beulas Recasens, Josep (or José)",
"Beut Lluch, Luis",
"Bianqui Sánchez, Octavio",
"Bienabe Artía, Bernardino",
"Bilbao Martínez, Gonzalo",
"Bilbao Martínez, Joaquín",
"Biosca Biosca, Josep (or José)",
"Biosca Vila, Joaquim (or Joaquín)",
"Bisquert, Antonio",
"Blanch Pla, Xavier (or Javier)",
"Blanco Castro, Aurelio",
"Blanco Coris, José",
"Blanco Martín, Venancio",
"Blanco Merino, Rafael",
"Blanco Pérez, Bernardo",
"Blanco, Carlos",
"Blanco, Virgilio (or Virxilio)",
Blasco,
"Blasco Brugueras, Valentí (or Valentín)",
"Blasco Ferrer, Eleuterio",
"Blasco Pastor, Arcadio (or Arcadi)",
"Blasco Soler, Teodoro",
"Blasco, Esteban",
"Blasco, Eulogio",
"Blasco, J.",
"Blasco, Matías (or Mattia)",
"Blay Fábregas, Miguel (or Miquel)",
"Blay, Pedro (or Pere)",
"Blesa y Prats, Luis (or Lluís)",
"Boada Matas, Casimiro (or Casimir)",
"Boada Mercader, Pablo (or Pau)",
"Bobadilla, Jerónimo de",
"Bocanegra, Pedro Atanasio",
"Bofill, Antoine",
"Boigas Aguilar, Francisco",
"Boix Soler, Tomàs",
"Boix, Esther (or Ester)",
"Boix-Vives, Anselmo (or Anselme)",
"Bolduque, Juan Mateo de",
"Bolduque, Pedro de",
"Bonafé, Matías (or Mathías)",
"Bonavera, Juan",
"Bonay, Francisco",
"Bonet Serrat, Laureano (or Laureà)",
"Bonet Sintes, Román (or Romà)",
"Bonet y Cubero, Juan Bautista",
"Bonifás Massó, Francesc (or Francisco)",
"Bonifás Massó, Lluís (or Luis)",
"Bonilla, José María",
"Bonnín Guerín, Francisco",
"Bonnín i Martí, Lluís (or Luis)",
"Bonnin Miranda, Francisco",
"Bonora, Juan",
"Bonora, Pedro",
"Bonora, Pedro",
"Bonull, Pere (or Pedro) de",
"Borbera, Juan",
"Bores, Francisco",
"Borgoña the Younger, Juan de",
"Borgoña, Juan de",
"Borja y Zayas, Antonio",
"Borja, Antonio",
"Borja, Juan Bautista",
"Borrás Casanova, Joan (or Juan)",
"Borrás Solana, José",
"Borrás y Abella, Gabriel",
"Borrás y Abella, Vicente (or Vicenç, or Vicent)",
"Borrás y Mompó, Vicente (or Vicenç, or Vincente)",
"Borrás, (Fray, or Mosén) Nicolás",
"Borrassà, Honorat (or Honorato)",
"Borrassà, Lluc (or Lluch, or Lucas)",
"Borrassà, Lluís (or Luis, or Luys)",
"Borrell del Caso, Pere (or Pedro)",
"Borrell Nicolau, Joan (or Juan)",
"Borrell Pla, Juli (or Julio)",
"Borrell Pla, Ramon",
"Borrell Vidal, Félix (or Feliu)",
"Bosch Bierge, Eusebi (or Eusebio)",
"Bosch Canals, Andreu (or Andrés)",
"Bosch Puigvert, Ramón",
"Bosch Roger, Emili (or Emilio)",
"Bosch Sanans, Germà (or Germán)",
"Bosch Tubau, Florencì (or Florencio)",
"Botí, Rafael",
"Bou Alvaro, Cristóbal",
"Bover y Mas, José (or Josep)",
"Bover, Francisco (or Francesc)",
"Bovi, Francisco",
"Boyra, Juan",
"Bracho Murillo, José María",
"Brambila, Fernando",
"Bráñez, Enrique",
"Brel, José",
"Bricio Delgado, Félix",
"Bringas y Bringas, Francisco de Paula",
"Brinkmann, Enrique",
"Briones, Fernando",
"Brito, Manuel",
"Brochetón Muguruza, Luis",
"Brocos, Isidoro",
"Brocos, Modesto",
"Brotat, Joan (or Juan)",
"Bru Pérez, Francisco",
"Bru Pérez, Manuel",
"Bru, Ayne (or Aine, or Ayna)",
"Brugada Vila, Antonio de",
"Brugada y Panizo, Ricardo (or Ricard)",
"Brugarolas Serrador, Antoni (or Antonio)",
"Brull Vinyoles, Joan (or Juan)",
Brunet,
"Brunet Torroll, Llorenç (or Lorenzo)",
"Bruno, José",
"Bruselas, Arnao de (or Arnal, or Arnau) ",
"Bruselas, Giralte de",
"Bruselas, Juan de",
"Bruselas, Juan de",
"Buades y Frau, Agustín",
"Buch, Ramón",
"Buendía y Beltrán, Pablo",
"Bueno Gimeno, José",
"Bueno Villarejo, Pedro",
"Bueno, José",
"Bueno, Xavier (or Javier)",
"Buera, Pedro",
"Bueras, Simón de",
"Buforn Aragonés, Andrés",
"Buj, Benjamín",
"Burgos Mantilla, Francisco de",
"Burgos Oms, Antonio de",
"Burgos, Esteban (or Esteve) de",
"Burgos, School of, Anonymous Painters of",
"Burgos, School of, Anonymous Sculptors of",
"Burgunya [the Younger], Joan de",
"Burgunya, Joan (or Juan) de",
"Buró, Carlos",
"Burriel Marín, Félix",
"Bushell Laussat, Francisco",
"Busom Grau, Simó (or Simón)",
"Bussy, (Fray) Nicolás de",
"Bustamante, Juan de",
"Bustamente, Juan de",
"Buxó, Esteban",
"Caba Casamitjana, Antoni (or Antonio)",
"Caballe, Antonio",
"Caballero y López, Vicente",
"Caballero y Villarroel, José",
"Caballero, Diego",
"Caballero, José",
"Cabanas Oteiza, Angel",
"Cabané Manauta, Joaquim (or Joaquín)",
"Cabanes, Antonio (or Antoni)",
"Cabanes, Pedro (or Pere)",
"Cabanyes [the Younger], Félix (or Feliu)",
"Cabanyes Marqués, Alexandre (or Alejandro) de",
"Cabanyes y Ballester, Joaquín (or Joaquim)",
"Cabanyes, Fèlix",
"Cabanyes, Josep (or José)",
"Cabanzón Hernández, Francisco",
"Cabases Muñoz, Antonio",
"Cabello Izarra, Segundo",
"Cabezalero, Juan Martín",
"Cabirol Sendrós, Joan (or Juan) de",
"Cabral Aguado Bejarano, Francisco",
"Cabral Aguado Bejarano, Manuel",
"Cabral Aguado Bejarano, Rafael",
"Cabral Bejarano, Antonio",
"Cabral Bejarano, Joaquín",
"Cabral y Llano, Enrique",
"Cabrera Cantó, Fernando (or Ferran)",
"Cabrera y Gallardo, Aurelio",
"Cabrera, Jaume (or Jaime)",
"Cabrera, Jerónimo de",
"Cabrera, Joan (or Juan)",
"Cabrera, Juan de",
"Cabrera, Marcos de",
"Cabrera, Rubén",
"Cabrinety Guiteres, Juan (or Joan)",
"Cáceres, Fernando de",
"Cáceres, Fray Alonso de",
"Cáceres, Lorenzo",
"Cacicedo Canales, Manuel",
"Cadell, Arnaldo (or Arnau)",
"Cajés, Eugenio de",
"Cajés, Patricio (or Patrizio)",
"Cala Moya, José",
"Calabana, G.",
"Calabria, Pedro de (or Pietro di)",
"Calandín Calandín, Emilio (or Emili)",
"Calbó, Pascual",
"Caldera, Juan",
"Calderó Ripoll, Pere (or Pedro)",
"Calderón García, Cruz José",
"Calderón, Fernando",
"Calleja, Andrés de la",
"Calleja, Manuel de la",
"Callicó Botella, Ferran (or Fernando)",
"Calsina, Ramón",
"Calvo Carrión, Antonio",
"Calvo González, Germán",
"Calvo, Manuel (or Manolo)",
"Camacho Felices de Alisén, Pedro",
"Camacho y Gallego, Eduardo",
"Camarón Boronat, José",
"Camarón Meliá, Juan José",
"Camarón Meliá, Manuel",
"Camarón Torra, Vicente",
"Camarón, Nicolás",
"Cambray, Juan (or Joan) de",
"Cambray, Juan de",
"Camilo, Francisco",
"Camino, Clemente del",
"Camós Cabruja, Luis (or Lluís)",
"Campaña the Younger, Pedro de",
"Campaña, Juan de",
"Campaña, Pedro de",
"Campeny Santamaria, Josep (or José)",
"Campeny y Estrany, Damián Buenaventura",
"Campesino y Mingo, Vicente",
"Campillo Solano, José",
"Campo Sobrino, Fernando",
"Campos, Joaquín",
"Campos, Luis de María",
"Campos, Pedro de",
"Camprobín, Pedro",
"Camps Arnau, José María (or Josep Maria)",
"Camps González, Leonardo",
"Camps Junyent, Gaspar",
"Camps Ribera, Francesc (or Francisco)",
"Campuzano y Aguirre, Tomás",
"Cañada Valle, Alejandro",
"Cañadas, Luis",
"Canalias, José",
"Canals Llambí, Ricard (or Ricardo)",
"Canals Xercavins, Lluís (or Luis)",
"Cañas, Josep (or José)",
"Cañaveral y Pérez, Alfonso",
"Cañaveral y Pérez, Enrique",
"Cañaveral y Pérez, José",
"Candamo, Juan de",
"Canderroa, Bernardino de",
"Canedo, Joaquín",
"Canet, Antoni (or Antonio, or Antonius)",
"Canjura, N.",
"Cano Correa, Antonio",
"Cano de Arévalo, Juan",
"Cano de la Peña, Eduardo",
"Cano, Alonso",
"Cano, Joaquín José (or Joaquín Josef)",
"Cano, Miguel",
"Canogar, Rafael (pseud.)",
"Cánovas, Andrés",
"Cantellops, José (or Josef, or Joseph)",
"Cantó y Mas, Juan (or Joan)",
"Cantón Checa, Miguel",
"Canut Soler, Carles (or Carlos)",
"Canyellas Balagueró, Francesc (or Francisco)",
"Capdevila Massana, Manuel",
"Capdevila Puig, Genís (or Ginés)",
"Capmany Montaner, Ramon",
"Capo y Celada, Antonio",
"Caprotti, Oscar",
"Capuleto, Francisco",
"Capuletti, José Manuel",
"Capulino Jáuregui, Joaquín",
"Capuz Alonso, Tomás",
"Capuz Calvet, Fray Francisco",
"Capuz Calvet, Leonardo Julio",
"Capuz Calvet, Raimundo",
"Capuz Mamano, José",
"Capuz Mamano, Pascual (or Pasqual)",
"Carato, Mateo",
"Carazo Martínez, José",
"Carazo Martínez, Ramón",
"Carbó, Juan Bautista",
"Carbona Balaguer, María Angeles (or Maria dels Angels)",
"Carbonell Piñol, Gerard (or Gerardo)",
"Carbonell Selva, Miquel (or Miguel)",
"Carbonell y Huguet, Pedro (or Pere)",
"Carbonell, Miguel",
"Cardellà Crusells, Joan (or Juan)",
"Cárdenas Maldonado, Gabriel de",
"Cárdenas, Bartolomé de",
"Cárdenas, Juan Ignacio de",
"Cardeñosa, Cristóbal de",
"Carderera y Solano, Valentín",
"Cardona Lladós, Joan (or Juan)",
"Cardona Torrandell, Armand (or Armando)",
"Cardona y Tío, Juan",
"Carducho, Bartolomé (or Bartolomeo)",
"Carducho, Vincencio (or Vicencio, or Vicente, or Vincenzo)",
"Cardunets Cazorla, Alejandro (or Alexandre)",
Carillo,
"Carisana, Nicolás",
"Carles Rosich, Domènec (or Domingo, or Dominique)",
"Carlos María Isidro de Borbón, (Infante de España), [S.A.R.] (Don)",
"Carnicero, Alejandro (or Alexandro)",
"Carnicero, Antonio",
"Carnicero, Isidro (or Isidoro)",
"Caro de Tavira, Juan",
"Caro de Torres, Manuel",
"Caro Herrera, Antonio",
"Caro, Francisco",
"Carón, José",
"Carpe, Antonio Hernández",
"Carpio, Juan José",
"Carrasco Díaz, Francisco",
"Carrasco, Vicente",
"Carreño de Miranda, Juan",
"Carreño, Emilio Julio",
"Carrera Dellunder, Joan (or Juan)",
"Carrera, Agustín (or Agustí, or Augustin)",
"Carreras Artau, Mariano",
"Carreras Martí, Joaquim (or Joaquín)",
"Carreras Obrador, Josep (or José)",
"Carreres, Vicente",
"Carrero Fernández, Genaro (or Jenaro)",
"Carretero Ferré, Eduardo",
"Carretero Gomis, Josep",
"Carretero Sánchez, Francisco",
"Carretero y Sánchez, Arturo",
"Carretero, Aurelio",
"Carriles, C.",
"Carrillo, Juan (or Joan)",
"Carrión Valverde, Antonio",
"Carrión, Domingo de",
"Carrión, Juan de",
"Carrión, Juan Francisco",
"Carrión, Leonardo de",
"Carulla Ribera, Francesc (or Francisco)",
"Carús, Hilari",
"Carvajal, Luis (or Louis) de",
"Casado del Alisal, José María",
"Casado, Rufino",
"Casals Camps, Emili (or Emilio)",
"Casals Grau, Vicenç (or Vicente)",
"Casals Maynou, Juli (or Julio)",
"Casals Peipoch, Josep (or José)",
"Casamor de Espona, Antonio (or Antoni)",
"Casán Matamala, Josep (or José)",
"Casanova Estorach, Antoni (or Antonio)",
"Casanova Ruiz, Lorenzo",
"Casanova, Carlos",
"Casanovas Claramunt, Arcadi (or Arcadio)",
"Casanovas Gorchs, Francesc (or Francisco)",
"Casanovas Roig, Enric (or Enrique)",
"Casanovas Torrents, Antonio",
"Casanovas y Astorza, Enrique",
"Casariego, Francisco",
"Casas Abarca, Agapit (or Agapito)",
"Casas Abarca, Pere (or Pedro)",
"Casas Carbó, Ramon",
"Casas Devesa, Joan (or Juan)",
"Casas Novoa, Fernando de",
"Casas, Juan (or Joan)",
"Cascalls, Jaume (or Jaime)",
"Casenave y Pérez, José",
"Casero Sanz, Antonio",
"Cases Capó, José (or Josep)",
"Casilari Roldán, Santiago",
"Casinello, H.",
"Castañeda, Abdón",
"Castañer, Ramón",
"Castaño Guerrero, Miguel",
"Castaños Agáñez, Manuel",
"Castaños Oller, Rodrigo",
"Castedo, Julián",
"Castelaro y Perea , José",
"Castell Doménech, Vicente",
"Castellanas Garrich, Josep",
"Castellano, Manuel",
"Castellnou de Navalles, Arnaut (or Arnaud, or Arnault) de",
"Castelló the Elder, Vicente",
"Castelló the Younger, Vicente",
"Castelló y Amat, Vicente",
"Castelló y González del Campo, Antonio",
"Castelló y González del Campo, Vicente",
"Castells Peig, Andreu (or Andrés)",
"Castells Roca, Eduard (or Eduardo)",
"Castells Sumalla, Josep (or José)",
"Castelo, Félix",
"Castelucho Diana, Claudi (or Claudio)",
"Castilian School, Anonymous Painters of",
"Castilian School, Anonymous Sculptors of",
"Castilla, Juan",
"Castillejo, Juan de",
"Castillo Olivares, Pedro del",
"Castillo Saavedra, Antonio del",
"Castillo the Elder, Francisco del",
"Castillo the Younger, Francisco del",
"Castillo, Agustín (or Augustín) del",
"Castillo, Aurelio del",
"Castillo, Fernando del",
"Castillo, Jorge",
"Castillo, José (or Josef) del",
"Castillo, Juan del",
"Castro Cires, Raimundo",
"Castro Gil, Manuel",
"Castro Llamas, José",
"Castro, Bartolomé",
"Castro, Carlos",
"Castro, Fabián de",
"Castro, Felipe de",
"Castro, Francisco",
"Castro, Leonardo Antonio de",
"Castro, Manuel",
"Catalan School, Anonymous Painters of",
"Catalan School, Anonymous Sculptors of",
"Causarás Casaña, Ricardo",
"Causarás Tarazona, Lluís (or Luis)",
"Cavanna y Pastor, Antonio",
"Cayón de la Vega, Torcuato",
"Cazares, Lorenzo",
"Ceán Bermúdez, Juan Agustín (or Juan Augustín)",
"Cebrián García, José",
"Cebrián Mezquita, Julio",
"Cebrián, Gregorio",
"Cebrián, José",
"Celis Gutiérrez, Agustín de",
"Celma, Juan Bautista",
"Celma, Juan Tomás",
"Centellas Roig, Joan (or Juan)",
"Centellas, Luis",
"Cerdá Bisbal, Lorenzo (or Llorenç)",
"Cerdá Villarestán, Francesc (or Francisco)",
"Cerdans, José (or Josep)",
"Cerezo the Elder, Mateo",
"Cerezo the Younger, Mateo",
"Cerezo Vallejo, Angel",
"Cerezo, Mariano",
"Cervera, (Fray) Blas de",
"Cervera, Martín",
"Cerveto Riba, Antoni (or Antonio)",
"Cerveto Riba, Josep",
"Cerveto Riba, Ramon",
"Cerveto Riba, Ricard (or Ricardo)",
"Cerveto Riba, Víctor",
"Cerveto Vestraten, Ramon",
"Céspedes, Domingo de",
"Céspedes, Pablo de",
"Cetina, Bernardo Juan",
"Cetina, Francisco (or Francesc)",
"Chacón, Francisco",
"Cháez, Juan",
"Chafrion, (Mosén) Lorenzo",
"Chamorro Aguilar, Joaquín",
"Chavarito, Domingo",
"Chaves Ortiz, José",
"Checa Delicado, Felipe",
"Checa Sanz, Ulpiano",
"Chía Alba, Juan Francisco (or Joan Francesc)",
"Chicharro Agüera, Eduardo",
"Chicharro Briones, Eduardo",
"Chicharro Gamo, José",
"Chico, José Manuel",
"Chicote, Victoriano",
"Chillida, Eduardo",
"Chiodo, B.",
"Chirino, Martín",
"Chirinos, Juan de",
"Choquet, Luciano",
Christoforus,
"Churriguera the Elder, José Simón de",
"Churriguera, Alberto de",
"Churriguera, Joaquín de",
"Churriguera, José Benito de",
"Cidón Navarro, Francisco (or Francesc) de",
"Cieza, José (or Josef) de",
"Cieza, Miguel Jerónimo de",
"Cieza, Vicente",
"Ciga, Javier",
"Cil, Manuel",
"Cilla, Francisco Ramón",
"Cirera, Jaume (or Jaime)",
"Ciria, Javier",
"Ciruelos González, Modesto",
"Cisneros the Elder, Pedro de",
"Cisneros the Younger, Pedro de",
"Cisneros, Pablo de",
"Civil, José",
"Clapera Argelaguer, Pere (or Pedro)",
"Claperós the Elder, Antonio",
"Claperós the Younger, Antonio",
"Claperós, Joan (or Juan)",
"Clapés Puig, Aleix (or Alejo)",
"Clará Ayats, Joan (or Juan)",
"Clará Ayats, Josep (José)",
"Clará, C.",
"Claramunt Martínez, Agustín (or Agustí, or Augustin)",
"Claramunt Poch, Salvador",
"Clarasó y Daudí, Enric (or Enrique)",
"Claret, Joan (or Juan)",
"Clavé Roqué, Pelegrí (or Pelegrín)",
"Clavé Sanmartí, Antoni (or Antonio)",
"Clavo Gil, Javier",
"Clavo Gil, Vicente",
"Clemente, Salvador",
"Climent Mata, Francisco (or Francesc)",
"Climent Palahi, Enric (or Enrique)",
"Climent Pastor, Vicente",
"Cobo Barquera, Juan José",
"Cobo de Guzmán, José Ignacio",
"Cobos Linderman, Josep (or José)",
"Codina Sert, Ginés (or Genís)",
"Codina y Langlin, Victoriano (or Victorià)",
"Coello, Claudio",
"Colet, Ricardo",
"Colí, Juan",
"Colinas Quirós, Ceferino",
"Coll Bardolet, Josep (or José)",
"Coll Gispert, Marcos",
"Coll Pi, Antonio (or Antoni)",
"Coll Salieti, Joaquim (or Joaquín)",
"Collado y Fernández, Pedro",
"Collado y Tejada, Pedro",
"Collado, Juan",
"Collantes, Francisco",
"Collar, Antonio",
"Collet, Charles",
"Colmeiro Guimarás, Manuel",
"Colmena, Xavier (or Javier)",
"Colom Agustí, Joan (or Juan)",
"Colom, Joan",
"Coloma, Luis",
"Colomer Rovira, Trinitat (or Trinidad)",
"Colomer, Mariano (or Marian)",
"Colonia, Diego de",
"Colonia, Francisco de",
"Colonia, Juan de",
"Colonia, Simón de",
"Comallonga Palau, Lluís (or Luis)",
"Comas Ortega, Pedro",
"Comas y Blanco, Augusto",
"Comba García, Juan",
"Combar, J.",
"Comes [the Elder], Francesc (or Francisco)",
"Comes [the Younger], Francesc (or Francesch, or Francesck, or Francisco)",
"Commeleran Carrera, Joan (or Juan)",
"Commeleran y Gómez, Alberto",
"Comontes, Antonio de",
"Comontes, Francisco de",
"Comontes, Iñigo de",
"Conchillos Falcó, Juan",
"Conejo Merino, Andrés",
"Conejo Merino, Daniel",
"Conill Orriols, Jacint (or Jacinto)",
"Conradi, Miguel Angel",
"Contreras Muñoz, José Marcelo",
"Contreras, Antonio de",
"Contreras, Antonio de",
"Copín de Holanda [the Elder], Diego",
"Copín de Holanda [the Younger], Diego",
"Copín de Holanda, Miguel",
"Corberó Olivella, Xavier",
"Corberó Trepat, Valeri (or Valerio)",
"Corbi, Juan",
"Corchón, José María",
"Cordero, F.",
"Córdoba, Benito de",
"Córdoba, Gonzalo de",
"Córdoba, Juan de",
"Córdoba, Pedro de",
"Córdoba, Pedro de",
"Córdoba, School of, Anonymous Sculptors of",
"Cordón Bonet, Faustino",
"Corell, F.",
"Cornac, Lucas",
"Cornet Palau, Cayetano",
"Corominas Casanovas, Joan",
"Corona Gómez Gamero, Elías",
"Coronado, Pablo",
"Coronas, Martín",
"Corral González, Imeldo",
"Corral, Jerónimo del",
"Corral, José",
"Corral, Juan del",
"Corral, Ruy del",
"Correa de Vivar, Juan",
"Correa, Marcos",
"Corredoyra de Castro, Jesús",
"Corro, Cecilio",
"Corte, Gabriel de la",
"Corte, Juan de la",
"Cortellini y Hernández, Angel María",
"Cortellini y Sánchez, Angel",
"Cortés Bau, José",
"Cortés Casanovas, Ramón",
"Cortés [y] Cordero, Antonio",
"Cortés Echanove, Javier",
"Cortés Moreno, Rafael",
"Cortés Pérez, Daniel",
"Cortés y Aguilar, Andrés",
"Cortés y Cordero, Eduardo",
"Cortezo, Victor María",
"Cortina Mestre, Daniel",
"Cortina y Farinós, Antonio",
"Cosida, Jerónimo",
"Cossío Villalobos, José",
"Cossío, Mariano de",
"Cossío, Pancho",
"Costa Baqué, Santiago",
"Costa Casas, Pedro (or Pere)",
"Costa de Vique, Pablo",
"Costa Dequidt, Ferran (or Fernando)",
"Costa Segura, Miquel (or Miguel)",
"Costa Solé, Josep (or José)",
"Costa, Josep",
"Cotter, Emilio",
"Cotto, Pedro Onofre",
"Coullaut Valera, Lorenzo",
"Covarrubias, Alonso de",
"Covarsí Yustas, Adelardo",
"Credensa the Elder, Nicolás de",
"Credensa the Younger, Nicolás de",
"Créixams Picó, Pere",
"Crespí, Domingo (or Domènec)",
"Crespi, Leonardo (or Leonart, or Lleonard)",
"Crespo y Villanueva, Manuel",
"Crespo, Esteban",
"Cresques, Abraham",
"Cresques, Jafuda",
"Criado y Baca, Manuel",
"Cristóbal, Juan",
"Cristòfol, Leandre (or Leandro)",
"Cros, Joan del",
"Cruella, Juan Francisco",
"Crusells, Pedro (or Pere)",
"Cruz Cano y Olmedilla, Juan de la",
"Cruz Collado, Antonio de la",
"Cruz Herrera, José",
"Cruz Martín, Miguel de la",
"Cruz Solís, Fernando",
"Cruz y Ríos, Luis de la",
"Cruz, Diego de la",
"Cruz, Manuel de la",
"Cuadra Jiménez, Cipriano",
"Cuadra, Andrés de la",
"Cuadra, Fernando de la",
"Cuadra, Pedro de la",
"Cuairan Blas, Florenci (or Florencio)",
"Cuartielles, R.",
"Cubas Martín, José",
"Cuchy Arnau, José (or Josep)",
"Cuéllar Sánchez, José",
"Cueman, Egas",
"Cuenca Muñoz, Rafael",
"Cuenca, Juan",
"Cuerda Losa, José Joaquín",
"Cuervo y Heras, Aquilino",
"Cuesta, Guzmán de la",
Cuevas,
"Cuevas, Eugenio de las",
"Cuevas, Pedro de las",
"Cuixart Tàpies, Modest",
"Cuquet, Pere (or Pedro)",
