AUTHOR
"Master Fruchel, active 12th century."
"Master of the Claveles, active 15th century."
"Maestro de Jaca, active 13th century."
"Borès, Francisco, 1898-1972."
"García Hidalgo, José, 1646-1717."
"Valls, Domènec, active 1366-1398."
"Astorga Neira, Juan B."
"Jaraba Jiménez, Enrique, 1871-1926."
"Hiepes, Tomás, approximately 1600-1674."
"Ioannes Ispanus, active 15th century-16th century."
"Falcó, Nicolás, active 1515-1560."
"Fuxá y Leal, Manuel, 1850-1927."
"Alvarez Laviada, Manuel, 1894-1958."
"Bellver y Collazos, José, 1824-1869."
"Bellver y Ramón, Ricardo, 1845-1924."
"Bellver Ferriol, Manuel, active 1894."
"Bellver y Collazos, Francisco, 1812-1890."
"Balaca y Carrión, José, 1810-1869."
"Carrión, Juan de, active 1470."
"Carrión, Domingo de, approximately 1585 or 1595-"
"Carrión Valverde, Antonio, active 1862."
"Pérez de Carrión, Antón, active approximately 1274-approximately 1293."
"Ametller, Blas, 1768-1841."
"Ayala, Bernabé de, approximately 1600-1672."
"Guezala y Ayrivié, Antonio de, 1889-1956."
"Palomino, Juan Bernabé, 1692-1777."
"Espinosa, Carlos, 1750-"
"Espinosa, Jerónimo Jacinto de, 1600-1667."
"Espinosa, Juan Bautista, approximately 1625-"
"Espinosa, Juan Bautista, approximately 1590-"
"Espinosa, Miguel de, 1510 or 1511-"
"Espinosa, Miguel de, active 1654."
"Espinosa de Castro, Jacinto, approximately 1631-1707."
"Espinosa, José, active 1830-1861."
"Martínez y Espinosa, Francisco, approximately 1537-"
"Martínez y Espinosa, Gregorio, 1547-"
"Martínez de Espinosa, Juan José, 1826-1902."
"Muñoz, Pedro, active 17th century."
"Martínez, Francisco, approximately 1496-approximately 1559."
"Arfe y Villafañe, Juan de, 1535-1603."
"Alexandre Ezquerra, José, active 1751-1793."
"Baeza Gómez, Manuel, 1911-1986."
"Bergnes Soler, Guillem, 1888-1975."
"Bonnin Miranda, Francisco, 1911-1963."
"Buxó, Esteban, active 1859-1905."
"Costa Baqué, Santiago, 1896-"
"Arfe, Antonio de, approximately 1510-"
"Cebrián García, José, 1839-1904."
"Esquivel Sotomayor, Manuel, 1777-1842."
"Andrade, Domingo de, 1639-1712."
"Biosca Biosca, Josep, 1896-"
"Astorga, Juan de, active 1540-1570."
"Bécquer, Carlos, 1899-1968."
"Camarón y Melía, José, 1760-1819."
"Borja, Juan Bautista, 1684-1756."
"Bedós García-Ciaño, María Teresa, 1907-"
"Benet Espuny, José, 1920-"
"Espinosa, Angel, 1889-1970."
"Castellnou de Navalles, Arnaut de, active 1458-1469."
"Clapera Argelaguer, Pere, 1906-"
"Esteve Bonet, José, 1741-1802."
"Durán Riera, Josep, 1843-1919."
"Esteve Botey, Francisco, 1884-"
"Farriols González, Santiago, 1890-1974."
"Churriguera, Joaquín de, 1674-1724."
"Cresques, Abraham, -1387."
"Enrich, Juan, 1743-1795 or 1796."
"Fernández, Luis, active 1485-1527."
"Luján Pérez, José, 1756-1815."
"Maestro de Badalona, active 15th century."
"Massanet, Joan, 1899-1969."
"Corberó, Xavier, 1935-"
"Domingo, Roberto, 1883-1956."
"Giraldo, Lucas, -approximately 1551."
"Copín de Holanda, Diego, approximately 1460 or 1470-"
"Llimona Benet, Rafael, 1896-1957."
"Kuntz y Valentini, Pedro, 1794-1863."
"Les Bustamante, Santiago de, 1897-"
"Llimona, Josep, 1864-1934."
"Llimona, Joan, 1860-1926."
"Lacoma Fontanet, Francesc, 1778-1849."
"Martí Garcés de Marcilla, Josep Maria de, 1880-1932."
"Macho, Victorio, 1887-1966."
"Mani, Carles, 1867-1911."
"Marín Bagüés, Francisco, 1879-1961."
"Marés Deulovol, Federico."
"Marinas, Aniceto, 1866-1953."
"Marquès Puig, Josep Maria, 1890-1950."
"Martí Gras, Lluís, 1887-1961."
"Martínez de Castañeda, Pedro, 1518-1604."
"Manaut Viglietti, José, 1898-1971."
"Piqué Iserte, José, 1913-"
"Planes, José."
"Ponzano, Ponciano, 1813-1877."
"Porcar i Ripollès, Joan Baptista, 1889-1974."
"Potau Torre de Mer, Artur, 1886-"
"Rebull, Joan, 1899-1981."
"Antonio Julio, 1889-1919."
"Castelao, 1886-1950."
"Robio y Lleida, Bartomeu, active 14th century."
"Rigalt Fargas, Pau, 1778-1845."
"Ridaura Casademont, Carles, 1888-"
"Risques Trillas, Manuel, 1886-1949."
"Robledano, José, 1884-1974."
"Rocha Canals, Luis Eduardo de la, 1887-"
"Rigol Font, Ramon, 1891-1976."
"Roig Cisa, Pau, 1879-1955."
"Gijón, Francisco Antonio, 1653-"
"Roqueta, Ramon, 1888-1930."
"Ros García, Vicente, 1887-1976."
"Rubio Rosell, Rafael, 1886-1942."
"Rodríguez-Acosta, José María, 1878-1941."
"Rodríguez Jaldón, Juan, 1890-1967."
"Roig Estradé, Pau, 1914-1994."
"Romero de Torres, Enrique, 1872-1956."
"Ros Bofarull, Joaquim, 1906-1991."
"Rosa, Manuel de la, 1860-1924."
"Rosales Martínez de Pedrosa, Carlota, 1872-1958."
"Sadurní Deop, Celestí, 1830-1896."
"Sabaté Jaumà, Pau, 1872-1957."
"Sáenz Sáenz, Pedro, 1863-1927."
"Sagnier Vidal, Manuel, 1891-"
"Saint-Aubin, Alejandro, 1857-1916."
"Sacharoff, Olga, 1879-1967."
"Mestre Bartomeu, active approximately 1270-1295."
"Mestre de la conquesta de Mallorca, active 13th century."
"Maestro de Cases-Noves, 11th century-12th century."
"Maestro de Covarrubias, active approximately 1500."
"Maestro de Castellbó, active 15th century."
"Fernández, Pedro, active 1500-1523."
"Camilo, Francisco, approximately 1615-1673."
"Delhom Rodríguez, Camilo, 1894-1970."
"Angeles Ortiz, Manuel."
"Ferrer, Jaime, active 1430-1461."
"Bardasano Baos, José, 1910-1979."
"Gutiérrez, Francisco, 1727-1782."
"Covarsí Yustas, Adelardo, 1885-1951."
"Simó, Juan Bautista, active 1726."
"Guerra, Gil."
"Pellicer Galeote, Rafael, 1906-1963."
"Pérez Rubio, Timoteo, 1896-1977."
"Gómez Polo, Simó, 1845-1880."
"Sancho San José, Mariano, 1895-1977."
"Velasco Belausteguigoitia, Rosario, 1910-"
"Ortiz Echagüe, Antonio, 1883-1942."
"Gutiérrez, Francisco, active 1616."
"Colmena, Xavier, 1902-"
"Rodríguez de Solís, Juan, -1522."
"Solís, Francisco de, 1620-1684."
"Solís Avila, Antonio, 1898-1967."
"Palacios, Francisco de, -1652."
"Tusquets Maignon, Ramon, 1838-1904."
"Tristán, Luis, 1585-1624."
"Ries, Ignacio de, approximately 1612-"
"Zurbarán, Juan de, 1620-1649."
"Togores, Josep de, 1893-1970."
"Vázquez, Alonso, -1608."
"Vázquez Alonso, Pedro, -1597 or 1598."
"Lloréns, Francisco, 1874-1948."
"Ferrant Fischermans, Alejandro, 1843-1917."
"Hermoso Martínez, Eugenio, 1883-1963."
"Vázquez, Antonio, 1483?-"
"Vázquez Díaz, Daniel."
"Villegas Marmolejo, Pedro de, 1519-1596."
"Ucelay, José María de, 1903-1979."
"Monegro, Juan Bautista, approximately 1545-1621."
"Grau Sala, Emilio, 1911-1975."
"Correa de Vivar, Juan, approximately 1510-"
"Toledo, Juan de, 1611?-1665."
"Esteban, Juan, active 1666."
"Gascó, Joan, -1529."
"Guas, Juan, approximately 1430-1496."
"Maíno, Juan Bautista, 1581-1649."
"Ximénez, Juan, active 1499."
"Segovia, Juan de, active approximately 1480-1488."
"Rodríguez, Juan, active 15th century."
"Rodríguez de Toledo, Juan, active 1395-1400."
"Vicens Cots, Joan, 1830-1886."
"Sancho, de Zamora, active 1483-1495."
"Zapater Rodríguez, Juan José, 1867-1922."
"Preciado de la Vega, Francisco, 1712-1789."
"Prado, Blas de, approximately 1545-1599."
"Palomino de Castro y Velasco, Antonio, 1655-1726."
"Zubiaurre, Ramón de, 1882-1969."
"Zubiaurre, Valentín de, 1879-1963."
"Fernández de Navarrete, Juan, -1579."
"Ruiz González, Pedro, approximately 1640-1706."
"Rodés, Vicente, -1858."
"Rey, Miguel del, active 15th century."
"Rosales, Eduardo, 1836-1873."
"Riancho, Agustín, 1841-1929."
"Sariñena, Juan, approximately 1545-1619."
"Solà, Antonio, 1787-1861."
"Gaudí, Antoni, 1852-1926."
"Solà, Ramon, -1494."
"Sánchez Solá, Eduardo, 1869-1949."
"Solà, Esteve, 1445-"
"Solà Vidal, Andreu, 1864-1907."
"Nava Riestra, Toribio de, 1687-1748."
"Navarro, Agustín, 1754-1787."
"Navarro Muñoz, Juan, active 1742."
"Navarro, Juan Simón, active 1654-1665."
"Navarro y Cañizares, Miguel, approximately 1840-1913."
"Navarro Romero, Vicente, 1888-"
"Navarro Lloréns, José, 1867-1923."
"Vall, Pere, active 1405-1411."
