AUTHOR
"Callicó Botella, Ferran, 1902-1968."
"Pina, Juan Laureano de, approximately 1630-1723."
"Calsina, Ramón, 1901-"
"Urquiza, Domingo, active 1771-1808."
"Calbó, Pascual, 1752-1817."
"Cabrera Cantó, Fernando, 1866-1937."
"Cadell, Arnaldo, active approximately 1190-1207."
"Pereira, Manuel, 1588-1683."
"Cajés, Eugenio de, approximately 1574-1634."
"Calvo González, Germán, 1910-"
"Calabria, Pedro de, approximately 1687-"
"Maestro de Portillo, active 15th century."
"Camarón Bonanat, José, 1731-1803."
"Calderon Garcia, Cruz Jose, 1901-1978."
"Camarón Meliá, Manuel, 1763-1806."
"Calleja, Andrés de la, 1705-1785."
"Calleja, Manuel de la, active 1719."
"Camarón y Torra, Vicente, 1803-1864."
"Camarón, Nicolás, 1692-1767."
"Cano de la Peña, Eduardo, 1823-1897."
"Amigo, Martín, active 17th century."
"Cánovas, Andrés."
"Campeny y Estrany, Damián Buenaventura, 1771-1855."
"Campos, Joaquín, -1812."
"Capdevila, Manuel, 1910-2006."
"Capmany i Montaner, Ramón, 1899-1992."
"Perandreu, Joan de, active 1520."
"Camps Arnau, José María, 1879-"
"Camps-Ribera, Francesc, 1895-1991."
"Campuzano y Aguirre, Tomás, 1857-1934."
"Capuz Mamano, José, 1884-1964."
"Capuz Calvet, Leonardo Julio, 1660-1731."
"Capuz Mamano, Pascual, 1882-1959."
"Carbona Balaguer, María Angeles, 1912-"
"Carbonell, Miguel, active 1727-1761."
"Carbonell y Huguet, Pedro, 1850-1927."
"Carbonell i Selva, Miquel, 1854-1896."
"Cardellà Crusells, Joan, 1900-"
"Cárdenas, Bartolomé de, approximately 1575-1628."
"Halen, Francesc de Paula van, 1820-1887."
"Canals Llambí, Ricard, 1876-1931."
"Cañas, Josep, 1905-"
"Canedo, Joaquín, -1805."
"Díaz Caneja, Juan Manuel, 1905-1988."
"Cano, Joaquín José, -1784."
"Cano, Miguel, active 1601-1646."
"Carles Rosich, Domènec, 1888-1962."
"Carnicero, Antonio, 1748-1814."
"Carón, José, active 18th century."
"Carpio, Juan José, active 1671-1710."
"Carretero, Aurelio, 1863-1917."
"Carulla Ribera, Francesc, 1898-1959."
"Carderera y Solano, Valentín, 1796-1880."
"Cardona y Tío, Juan, 1877-1958."
"Alava, Juan de, 1480-1537."
"Araoz, Andrés de, 1499 or 1500-1563."
"Andino, Cristóbal, -1543."
"Alonso de los Ríos, Pedro, 1641-1703."
"Alcázar, Diego de, active 1536."
"Aleas, Miguel de, active 1514-1521."
"Alvarez, Adrián, -1599."
"Alvarez de Molina, Juan, active 1536."
"Amberes, Domingo de, active 1535-1572."
"Sanglada, Pere, active 14th century-15th century."
"Carducho, Bartolomé, 1560-1608."
"Carús, Hilari, active 1675-1686."
"Casado del Alisal, José, 1831-1886."
"Casals Grau, Vicenç."
"Casamor de Espona, Antonio, 1907-1979."
"Casanova Ruiz, Lorenzo, 1844-1900."
"Casanova Puigserinall, Montserrat, 1909-"
"Casanova y Estorach, Antonio, 1847-1896."
"Casanovas Torrents, Antonio, 1752-1796."
"Casanovas, Enric, 1882-1948."
"Carducho, Vicente, 1578-1638."
"Carillo, active 15th century."
"Claramunt Poch, Salvador, 1896-"
"Casanovas Gorchs, Francesc, 1853-1924."
"Casariego, Francisco, 1890-1958."
"Casas, Ramón, 1866-1932."
"Clará, José, 1878-1958."
"Casas Abarca, Agapit, 1874-1964."
"Casas Abarca, Pere, 1875-1958."
"Antonio, Cristóbal de, approximately 1862-"
"Casanovas Claramunt, Arcadi, active 1885-1898."
"Garrido, Eduardo Leon, 1856-"
"Baquero, Mariano, approximately 1838-"
"Crespo y Villanueva, Manuel, active 1890-1897."
"Pujol Gustavino, Climent, approximately 1850-"
"Caxete, Patricio."
"Cazares, Lorenzo, -1678."
"Vergaz, Alfonso Giraldo, 1744-1812."
"Cebrián Mezquita, Julio, 1854-1926."
"Carisana, Nicolás, active 1744."
"Baeza, Francisco de, active 1503-1542."
"Cerdá Villarestán, Francesc, 1814-1881."
"Cerdá Bisbal, Lorenzo, 1862-1955."
"Bascardo, Juan, 1584-1653."
"Beauvés, Juan de, active 1563-1592."
"Berruguete, Inocencio, active 1540-1567."
"Aquilín, Antonio de, active 16th century."
"Bolduque, Juan Mateo de, active 1546-1567."
"Bolduque, Pedro de, -1596."
"Bonafé, Matías, active 1434-1462."
"Bruselas, Giralte de, active 1511-1523."
"Danila, active 9th century."
"Sancho, active 960."
"Florencio, approximately 920-"
"Maius, active 926-968."
"Emeterio, active 968-976."
"Ende, active 975-976."
"Vigila, active 974-983."
"Facundo, active 1047."
"Salomón, active 1067."
"Puig, Ramon, active 1557-1597."
"Domingo, active approximately 1073-1091."
"Petrus, active approximately 1100-approximately 1106."
"Arrúe Valle, José, 1885-1977."
"Arrúe Valle, Ricardo, 1890-1978."
"Beaugrant, Guiot de, -1549 or 1550."
"Albert, Bartolomé, active 1683-1703."
"Maestro de Arguis, active 15th century."
"Arnao, de Bruselas, active 16th century."
"Díez de Liatzasolo, Martín, -1583."
"Cambray, Juan de, approximately 1508-"
"Canet, Antoni, active 1394."
"Claperós, Antonio, active 1422-1460."
"Colonia, Francisco de, approximately 1470-1542."
"Gabadi, Bernal de, -1601."
"Colonia, Juan de, approximately 1410-1481."
"Colonia, Simón de, approximately 1445-1511."
"Corral, Jerónimo del, approximately 1505-"
"Corral, Juan del, approximately 1505-"
"Goyaz, Juan de, -1556."
"Fernández Alemán, Jorge, active 1508-1529."
"Fernández, Bartolomé, active 1526."
"Jiménez Donoso, José, approximately 1632-1690."
"Ferrán Vallés, Adrià, 1774-1840."
"Flórez, Antonio, active 1520."
"Fabré, Jaume, active 1317."
"Haya, Martín de la, active 1561-1586."
"Jaén, Bartolomé de, active 1510-1555."
"Haya, Rodrigo de la, -1578."
"Nestosa, Hernando de la, -1599."
"Alvarez de la Peña, Manuel Francisco, 1727-1797."
"Maestro Mateo, active 1168-1188."
"Maestro de Olite, active approximately 1333."
"Cossío, Pancho, 1894-1970."
"Martínez, Antonio, active 1557-1563."
"Maestro de Sarmental, active 13th century."
"Castro Gil, Manuel, 1890-1963."
"Ochoa de Arteaga, active 1546-1553."
"Maestro de la Coronería, active 13th century."
"Mélida y Alinari, Arturo, 1849-1902."
"Ortiz, Luis, active 1554-1561."
"Ortiz Fernández, Juan, active 1558-1585."
"Salmerón, Exoristo, 1877-1925."
"Pascual de Mena, Juan, 1707-1784."
"Merlo, Giraldo de, approximately 1574-1620."
"Lopez, Salvador P."
"Morel, Bartolomé, active 1504-1579."
"Mélida y Alinari, Enrique, 1838-1892."
"Pardo, Gregorio, approximately 1517-"
"Quijano, Jerónimo, -1563."
"Ramírez de Arellano, Manuel, 1721 or 1722-1789."
"Rada, Andrés de, active 1578-1611."
"Reolid, Juan de, active 1513-1550."
"Rincón, Francisco de, approximately 1567-1608."
"León, Rodrigo de, active 1571-1608."
"Ron, Manuel de, active 1675-1697."
"Ríos, Ricardo de los, 1846-1929."
"Serra, Francesc, active 1362-1396."
"Sánchez, Antón, active approximately 1487."
"Salvador Carmona, José, active 18th century."
"Salvador Carmona, Luis, 1708-1767."
"Sánchez, Diego, active approximately 1487."
"Tomé, Narciso, 1694-1742."
"Tordesillas, Gaspar de, active 1535-1562."
"Sánchez, Nufro, active 1461-1480."
"Sánchez de Agrela, Pedro, -1662."
"Torrecilla, Juan de, -approximately 1614 or 1615."
"Sierra Vidal, Tomás de, approximately 1654-1725."
"Valdoma, Martín de, active 16th century."
"Valencia, Jerónimo de, active 1547-1571."
"Vallejo, Juan de, -1569."
"Sierra, Pedro de, 1702-"
"Vergara, Ignacio, 1715-1776."
"Vergara, Nicolás de, approximately 1510-1574."
"Vigarny, Felipe, -1543."
"Villalpando, Francisco de, approximately 1510-1561."
"Villoldo, Francisco, active 16th century."
"Villoldo, Isidro de, -approximately 1560."
"Vimercado, Milán, active 1588."
"Zarza, Vasco de la, -1524."
"Cerezo, Mateo, 1637-1666."
"Cervera, Blas de, active 1613-1663."
"Cervera, Martín, -1621."
"Chafrion, Lorenzo, 1696-1749."
"Chicharro, Eduardo, 1873-1949."
"Chicharro Gamo, José, 1897-"
"Chico, José Manuel, 1916-"
"Churriguera, Alberto de, 1676-1750."
"Cidón Navarro, Francisco de, 1871-1943."
"Cases Capó, José, 1906-"
"Cascalls, Jaume, active 1340-1406."
"Colom, Joan, active 1412."
"Colomer, Mariano, active 1800."
"Comba García, Juan, 1852-1924."
"Comes, Francesc, active 1380-1417."
"Castañeda, Abdón, approximately 1580-1629."
"Cerveto Riba, Antoni, 1876-1938."
"Commeleran Carrera, Joan, 1902-"
"Condeminas Soler, Teresa, 1905-"
"Conill Orriols, Jacint, 1914-"
"Conejo Merino, Andrés, 1915-"
"Comontes, Antonio de, active 1503-1519."
"Comontes, Francisco de, -1565."
"Esquivel, Carlos María, 1830-1867."
"Castedo, Julián, 1899-"
"Castell Doménech, Vicente, 1871-1934."
"Castellano, Manuel, 1826-1880."
"Castelló y Amat, Vicente, 1787-1860."
"Conchillos Falcó, Juan, 1641-1711."
"Contreras, Antonio de, 1587-1654."
"Contreras Muñoz, José Marcelo, 1827-1890."
"Castelló, Félix, 1595-1651."
"Castells Roca, Eduard, 1898-1976."
"Combar, J., active 1660."
"Comas y Blanco, Augusto, 1862-1953."
"Castillo, Agustín del, 1565-1631."
"Castelucho Diana, Claudi, 1870-1927."
"Castillo, José del, 1737-1793."
"Cieza, José de, 1652-1724."
"Cieza, Miguel Jerónimo de, 1611-1685."
"Cieza, Vicente de, 1654-1707."
"Cil, Manuel, active 1825."
"Coranty de Guasch, Emilia, 1862-1944."
"Cordero, F."
"Duque Cornejo y Roldán, Pedro, 1678-1757."
"Castro, Fabián de, 1868-approximately 1950."
"Cirera, Jaume, -1449 or 1450."
"Correa, Marcos, active 1667-1673."
"Corredoyra de Castro, Jesús, 1889-1939."
"Corro, Cecilio, active 1834-1866."
"Corte, Juan de la, approximately 1585-approximately 1662."
"Cortellini y Hernández, Angel María, 1819-1899."
"Ciria, Javier, 1904-"
"Cortés y Aguilar, Andrés, 1810-1879."
"Castro, Felipe de, 1704?-1775."
"Cirici, María, 1911-"
"Cortés Pérez, Daniel."
"Civil, José, 1878-1959."
"Cosida, Jerónimo, approximately 1516-1592."
"Cortellini y Sánchez, Angel, active 1881-1892."
"Cornet Palau, Cayetano, 1878-1945."
"Castro, Manuel, active 1795-1805."
"Clapés Puig, Aleix, 1850-1920."
"Clará Ayats, Joan, 1875-1958."
"Clarasó i Daudí, Enric, 1857-1941."
"Clavé, Antoni, 1913-2005."
"Credensa, Nicolás de, -1558."
"Credensa, Nicolás de, active 1571-1595."
"Clavé Roqué, Pelegrí, 1811-1880."
"Créixams, Pere, 1893-1965."
"Almela Costa, José María, 1900-1989."
"Costa Casas, Pedro, -1761."
"Cobo de Guzmán, José Ignacio, 1666-1746."
"Costa Pujol, Joaquima, 1905-"
"Costa Segura, Miquel, 1902-1982."
"Cristóbal, Juan, 1898-1961."
"Cristòfol, Leandre, 1908-1998."
"Cotto, Pedro Onofre, active 1680-1689."
"Cruz Herrera, José, 1890-1972."
"Cruz y Ríos, Luis de la, 1776-1853."
"Coullaut-Valera, Federico, 1912-1989."
"Cuadra Jiménez, Cipriano, active 1895-1901."
"Cusachs i Cusachs, Josep, 1850-1909."
"Codina y Langlin, Victoriano, 1844-1911."
"Cutanda y Toraya, Vicente, 1850-1925."
"Cusí Ferret, Manuel, 1859-1922."
"Colet, Ricardo, 1889-1948."
"Collado, Juan, 1731-1767."
"Colmeiro Guimarás, Manuel, 1901-"
"Cuevas, Eugenio de las, 1613-1667."
"Castro, Leonardo de, 1656-1745."
"Camps González, Leonardo, active 1860-1893."
"Casas, Juan, 1843-1900."
"Collet, Charles, 1902-1983."
"Cavanna y Pastor, Antonio, 1815-1840."
"Pérez de Alesio, Mateo, 1547-1615 or 1616."
"Baeza, Gaspar de, 1540-"
"Aguila Acosta, A. (Adolfo), active 1858-1901."
"Aguilar, Alonso de, active 19th century."
"Aguilar Casado, Antonio."
"Badía Vidiella, Pere, 1889-"
"Baeza, Marcos, 1858-1915."
"Balasanz Sánchez, Victorino, 1853-"
"Ballester Ayguals de Izco, Juan, 1837-1868."
"Banda y Pineda, Eduardo, active 1882-1895."
"Barrios, Manuel, active 1871-1880."
"Barrueta Asteinza, Benito, 1873-1953."
"Barruso, Epifanio."
"Bartolozzi, Salvador, 1882-1950."
"Cabanyes y Ballester, Joaquín, 1799-1876."
"Cabanyes Marqués, Alexandre de, 1877-1972."
"Bastida y Fernández Espino, José de la, active 1897-1906."
"Barragán Montemayor, Pedro."
"Ainaud, Manuel, 1885-1932."
"Costa, Josep, active approximately 1800."
"Alarcón, Félix, approximately 1840-"
"Cabral y Llano, Enrique, active 1879-1888."
"Cabrinety Guiteres, Juan, approximately 1865-"
"Frutet, Francisco, -1550."
"Alarcón y Cáceres, José María, approximately 1850-1904."
"Albarranch Blasco, Vicente, 1898-1940."
"Camacho y Gallego, Eduardo, approximately 1841-1866."
"Camarón, Elena, 1866-"
"Albiol López, José, 1872-1928."
"Alcaraz, Julián, 1863-1952."
"Campesino y Mingo, Vicente, active 1876-1899."
"Aldaz y Sancho, Juan, active 1885-1910."
"Aleas Rodríguez, José, active 1895-1899."
"Alemani Font, Trinidad, active 1894."
"Casals i Camps, Emili, 1843-1928."
"Alexander, Enrique, active 1894."
"Alfaro, Nicolás, 1826-1905."
"Almagro López, Juan, active 1824."
"Campos, Luis de María, active 1879."
"Alvarez, Manuel Angel, active 1897."
"Alvarez Fernández, José, active 1876."
"Blasco, J."
"Alvarez Díaz, Emilio, 1874-1952."
"Alvarado de Rivas, Salvador, active 1893-1899."
"Bertuchi Nieto, Mariano, 1885-1955."
"Alsina Cuxart, Lluís."
"Béjar Novella, Pablo Antonio, 1869-1921."
"Belli, Benito, active 1870-1884."
"Amérigo Rouviere, Federico, 1840-1912."
"Amérigo Morales, Ramón, 1807-1884."
"Bello Piñeiro, Felipe, 1886-1952."
"Angel, Manuel, active 1881-1904."
"Igual Ruiz, Enrique, 1896-1974."
"Berga i Boix, Josep."
"Antonio Martínez, Pedro, 1886-"
"Bermejo, Enrique, active 1871-1872."
"Bianqui Sánchez, Octavio, 1872-1936."
"López Apellániz, Jesús, 1897-1969."
"Ardanaz, Pío, active approximately 1881."
"Arias Blanco, Salvador."
"Ariet Olives, José, 1885-"
"Arregui, Romana, 1875-"
"Arregui, Carlos, active 1895."
"Arronte, Aureliano."
"Asenjo Arozarena, Salustiano, 1834-1897."
"Atenza, Ramón, active 1876."
"Avendaño Fernández, Donato, 1840-"
"Avendaño, Teodomiro, active 1871."
"Capdevila Puig, Genís, 1860-1929."
"Cantó y Mas, Juan, active 1877."
"Canyellas Balagueró, Francesc, 1889-1938."
"Cañaveral y Pérez, Enrique, active 1881."
"Bienabe Artía, Bernardino, 1899-"
"Blanco Garrido, Virxilio, 1896-1948."
"Blanco Merino, Rafael, 1864-"
"Forner, Jaume, -1555."
"Boada Matas, Casimiro, 1888-"
"Boigas Aguilar, Francisco, 1884-1902."
"Bonet Serrat, Laureano, 1898-"
"Bonet Sintes, Román, 1886-1967."
"Capulino Jáuregui, Joaquín, 1879-1969."
"Bonilla, José María, 1808-1880."
"Carazo Martínez, José, 1891-1958."
"Carbonell Piñol, Gerard, 1894-1968."
"Cardunets Cazorla, Alejandro, 1871-1944."
"Cerezo, Mariano."
"Botet Mundi, Luisa, 1884-"
"Bou Alvaro, Cristóbal, 1887-1931."
"Bricio Delgado, Félix, active 1880-1881."
"Bringas y Bringas, Francisco de Paula, 1827-1855."
"Aguadé, Carmen María, 1916-"
"Brocos, Modesto, 1852-1936."
"Buch, Ramón, active 1868-1880."
"Buforn Aragonés, Andrés, 1877-1943."
"Buj, Benjamín."
"García Reinoso, Antonio, approximately 1623-1677."
"Caro Herrera, Antonio, active 1894-1899."
"Carrasco, Vicente."
"Carreras Artau, Mariano, 1832-1888."
"Carriles, C., active 1896."
"Cardona Lladós, Joan, 1877-1957."
"Casero Sanz, Antonio, 1897-1973."
"Criado y Baca, Manuel, 1839-1899."
"Cruella, Juan Francisco, -1886."
"Cuartielles, R., active 1885."
"Cubas Martín, José, -1953."
"Cubero, Eloísa, active approximately 1890-1910."
"Cuenca Muñoz, Rafael, 1894-"
"Casenave y Pérez, José, active 1892-1895."
"Cuerda Losa, José Joaquín, 1874-1948."
"Casilari Roldán, Santiago, 1874-1954."
"Casinello, H., active 1888."
"Castells Sumalla, Josep, 1888-1965."
"Castillo, Aurelio del."
"Castillo y Díaz, Carolina, 1867-1933."
"Castro, Carlos, active 1864."
"Cerda, Ha. de la, op.1911/1914."
"Cerezo Vallejo, Angel."
"Ciga, Javier, 1885-1959."
"Cilla, Francisco Ramón, 1859-"
"Chaves Ortiz, José, 1839-1903."
"Checa Delicado, Felipe, 1844-1907."
"Chía Alba, Juan Francisco, 1852-1918."
"Chicote, Victoriano."
"Chiodo, B."
"Clará, Arcisa, active 1894."
"Corbi, Juan."
"Corchón, José María, active 1864."
"Clará, C."
"Corell, F., active approximately 1890."
"Corominas Casanovas, Joan, active 1918-1920."
"Clemente, Salvador, 1859-1909."
"Climent Pastor, Vicente, 1872-1923."
"Corral González, Imeldo, 1889-1976."
"Corral, José, active 1917."
"Codina Sert, Ginés, 1860-"
"Corredoyra y Ruíz de Baro, María del Carmen, 1893-1970."
"Cortés, Amparo, active 1875."
"Cortés Bau, José, active 1872-1879."
"Cortés y Cordero, Eduardo, active 1870."
"Cortina Mestre, Daniel, active 1855-1882."
"Cortina y Farinós, Antonio, 1841-1891."
"Costa Dequidt, Ferran, 1895-1977."
"Coll Salieti, Joaquim, active 1898-1918."
"Coll Pi, Antonio, 1857-1923."
"Collar, Antonio, 1905-"
"Sedano, Alonso de, approximately 1450-"
"Villanueva, Alonso de, active 1510-1546."
"Jiménez Prieto, Manuel, 1848-1904."
"Galbién Meseguer, Antonio, 1841-1902."
"Bonnín i Martí, Lluís, 1873-1964."
"Jiménez Aranda, Luis, 1845-1928."
"Churriguera, José, 1650-1723?"
"Gimeno y Canencia, Eduardo, 1838-1868."
"Nicolau Cotanda, Vicente, 1852-1898."
"Espinal, Gregorio, -1746."
"Daurer, Joan, -1407."
"Córdoba, Pedro de, active 1475."
"Destorrents, Ramon, active 1348?-1362."
"Díaz, Diego Valentín, 1586-1660."
"Díaz, Gonzalo, active 1497-1534."
"Díaz de Oviedo, Pedro, active 1487-1510."
"Díez, Teresa, active 1310-approximately 1350."
"Díaz Carreño, Francisco, 1836-1903."
"Díaz Domínguez, Angel, 1881-"
"Díaz, Isaías, 1898-1989."
"Díaz y González, Vicente, -1941."
"Díaz Huertas, Angel, 1866-1937."
"Díaz Olano, Ignacio, 1860-1936."
"Díaz Valdés, Tomás, 1805-1886."
"Díaz Valera, José, 1827-1903."
"Maestro de Artés, active 1472-1514."
"Urbina, Diego de, 1516-1594."
"Domènech Ferré, Eduard, 1917-1965."
"Domínguez Sánchez, Manuel, 1840-1906."
"Dalmáu, Lluís, active 1427."
"Domínguez Meunier, Manuel, active 1878-1900."
"Droc, María, 1903-1987."
"Poy Dalmau, Emilio, 1876-"
"Dunyac Sala, Josep, 1886-1957."
"Núñez, F., active 19th century."
"Durancamps, Rafael, 1891-1979."
"Davalillo Artigas, Carmel, 1898-"
"Durán Castellanas, Jaime, 1891-1983."
"Domingo Muñoz, José, active 19th century."
"Decraene, Florentino, 1793-1852."
"Doncel, Guillén, active approximately 1535."
"Deleito, Andrés, active approximately 1680."
"Delgado, Pedro, active 1510-1529."
"Denis Belgrano, José, 1844-1917."
"Delgado y Meneses, José, 1775-1855 or 1856."
"Espinós, Benito, 1748-1818."
"Durbán Bielsa, Martín Ramón, 1904-1968."
"Domingo, Francesc."
"Dalre Ambrosí, Carlos, 1863-1948."
"Díez, Joaquín, approximately 1840-1882."
"Domenge Antiga, Melcior, 1871-1939."
"Dorda Rodríguez, Enrique, 1869-1944."
"Durán Altamira, Ricardo, 1878-1959."
"Durand, Robert (Artist)"
"Baró, Bartolomé, active 1468-1479."
"Asterain, Diego de, active 1350-1351."
"Vila Prades, Julio, 1873-1930."
"Domínguez, Oscar, 1906-1957."
"Echena, José, 1844-1912."
"Echevarría, Federico."
"Echevarría, Juan de, 1875-1931."
"Eder y Gattens, Federico María, 1830-1905."
"Egas, Enrique, approximately 1455-1534."
"Egusquiza Barrena, Rogelio de, 1845-1915."
"Elbo, José, 1804-1844."
"Elorriaga, Ramón de, 1836-1897."
"Escacena, José María, 1800-1858."
"Espalter Rull, Joaquim, 1809-1880."
"Espartero, E."
"Espina y Capo, Juan, 1848-1933."
"Espinabete, Felipe de, 1719-1799."
"Espinal Armengol, Marià, 1895-1974."
"Avila, Lorenzo de, -1570."
"Esquivel, Miguel de, 1590 or 1595-1621."
"Estevan, Hermenegildo, 1851-1945."
"Estradera Fontdevila, Antonio."
"Estrany Ros, Rafael, 1884-1958."
"Esteve, Rafael, 1772-1847."
"Esteve Fuertes, Gabriel, 1900-"
"Egea y Marín, Juan, approximately 1860-"
"Elias, Feliu, 1878-1948."
"Hanequín, de Bruselas, active 15th century."
"Esparza y Pérez, Nicolás, 1873-1928."
"Eusebi Valladares, Arturo, active approximately 1880."
"Elias, Lluís, 1896-1953."
"Estevan y Vicente, Enrique, 1849-1927."
"Ezquerra, Jerónimo Antonio de, -1733."
"Estrada, Ignacio, 1724-1790."
"Ezpeleta, approximately 1490-approximately 1550."
"Esteve, Miguel, active 1510."
Estern y Enebras.
"Farré París, Antonio, 1891-1948."
"Fàbregas Ferrando, Josep Maria."
"Fabrés Costa, Antonio, 1854-1938."
"Falero, Luis Ricardo, 1851-1896."
"Félez, Mariano, 1883-1940."
"Feliú de Lemus, Manuel, 1865-1922."
"Fenosa, Apel·les, 1899-1988."
"Fernandez, Alejo, -1545?"
"Fernández Cuevas, Telésforo, 1850-1933."
"Benavent Calatayud, José, 1858-"
"Fernández, Gregorio, 1576-1636."
"Fernández, Juan de Dios, -1801."
"Fernández, Luis, 1596-1654."
"Valencia, Juan de, approximately 1660-1738."
"Fernández Alvarado, José, 1871-1935."
"Fernández Ardavín, César, 1883-1974."
"Fernández Balbuena, Roberto, 1891-1966."
"Ferrándiz y Badens, Bernardo, 1835-1885."
"Fernández Cruzado, Joaquín Manuel, 1781-1856."
"Fernández de Guadalupe, Pedro, active 1504-1539."
"Faber, Will, 1901-1987."
"Fernández Marrero, Antonio, 1902 or 1903-"
"Ferrán, Antoni, 1786-1858."
"Ferrán Bayona, Manuel, 1830-1896."
"Ferrándiz Terán, Federico, 1870-1957."
"Ferrando, Manuel, active 1506-1517."
"Ferrant, Angel."
"Fleitas Hernández, Plácido, 1915-1972."
"Fló Guitart, Eduardo, 1881-"
"Florensa Arnús, Salvador, 1880-1919."
"Ferrant Llausás, Fernando, 1810-1856."
"Flores, Pedro, 1897-1967."
"Ferrant Llausás, Luis, 1806-1868."
"Ferré Ferré, Ramón, 1908-"
"Florit, José Luis, 1909-"
"Flotats, Lluis, 1917-"
"Fluyxench y Trell, Miguel, 1820-1874."
"Fluviá, Juan, 1911-"
"Ferré Revascall, Josep, 1907-"
"Ferrer, Guillermo, -1406."
"Ferrer, José, -1815."
"Ferrer Calatayud, Pedro, 1860-1944."
"Ferrer Comas, Eduardo, 1892-"
"Ferrer Corriol, Antonio de, 1849-1909."
"Ferrer Miró, Joan, 1850-1931."
"Ferrer Carbonell, Juan, 1892-"
"Folch Solé, Magda, 1905-1981."
"Folgueras Doiztúa, Cipriano, 1863-1911."
"Font, Francisco, 1848-1912."
"Fontanet Clec, Amadeu, 1907-1982."
"Forns Romans, Rafael, 1868-1939."
"Fortuny, Mariano, 1871-1949."
"Francés, Esteban."
"Amat, José, 1843-1911."
"Ferrer y Pallejà, J., active 1886-1934."
"Ferrater y Feliú, Antonio de, 1868-1942."
"Francés Mexía, Juan de Dios, 1873-1954."
"Francés y Pascual, Plácido, 1834-1902."
"Franco Cordero, José, active 1878-1892."
"Franco Salinas, Luis, 1850-1897."
"Frau, José, 1898-1976."
"Frau, Margarita, 1898-"
"Freixas Cortés, Jordi, 1917-1984."
"Fresquet, Guillem, n.1914-exh.1990."
"Forment, Damián, 1475?-1540."
"Frau, Josep, 1887-"
"Alemán, Rodrigo, active 1489-1504."
"Férriz y Sicilia, Cristóbal, 1850-1912."
"Furió Kobs, Vicente, 1864-1956."
"Ferro, Gregorio, 1742-1812."
"Fierros, Dionisio, 1827-1894."
"Pierres, Master, active 1505-1520."
"Figuera, Joan, -approximately 1478."
"Miró, 12th century-13th century."
"Figueras Vila, Juan, 1829-1881."
"Figueras Sanmartí, Alfred, 1900-1980."
"Figueroa y Torres, Rodrigo de, 1856-1929."
"Fillol Granell, Antonio, 1870-1930."
"Fín, J., 1916-1969."
"Flaugier, José Bernat, 1757-1813."
"Fontaines, Pere, -1518."
"Fernández de Villasante, Julio Moisés, 1888-1968."
"Fernández Cuevas, Antonio, approximately 1835-1909."
"Fernández, Domingo, 1862-"
"Ferrer Cabrera, Emilio, 1888-"
"Ferrer Matas, Santiago."
"Figueroa, M."
"Flores Ibáñez, Eduardo, active 1871-1889."
"Florido Berruelo, Enrique, active 1887."
"Fernández Hidalgo, Eulalio."
"Fernández Mota, Fernando, active 1896."
"Foix Villuendas, Lluís, 1875-1951."
"Franquesa, Francisco, 1899-"
"Freixes Saurí, Joaquim, 1880-"
"Fresno y Arroyo, Anselmo del."
"Fuente y Almazán, Luis de la, approximately 1850-"
"Fuentes Lojo, Juan V."
"Fernández Sanahuja, Manuel, 1835-1884."
"Ferrara, H."
"Ferrer, Vicente, approximately 1850-"
"Corte, Gabriel de la, 1648-1694."
"Cuquet, Pere, approximately 1595-1666."
"Bover, Francisco, 1764-1831."
"Daunas, Hermenegild, 1843-1903."
"Ruiz, Joanes Potricius, active 18th century."
"Fernández, Francisco, 1605-"
"Paredes, Vicente García de, approximately 1845-"
"García Espínola, Ramón, -1899."
"Cabanes, Pedro, active 1472-1538."
"Garrocha, J., active 1887."
"Gómez, J., active 1864."
"Lafita, José, 1852-1925."
"Avila, Hernando de, -1595."
"Miró Lleó, Gaspar, 1859-1930."
"Montenegro Capel, José, 1865-1929."
"Valls Sanmartí, Ernest, 1891-1941."
"Pinto, J., active 19th century."
"Requena, Vicente, 1556-approximately 1607."
Vaimiar.
"Rosa, A. de la, active 19th century."
"Satory, M., active 19th century."
"Xenis, active 19th century."
"Puig, V., active 1892-1920."
Peláez.
"Astor, Diego de, active 17th century."
"Destorrents, Rafael, 1375-approximately 1425."
"Zayán, Abd al-Rahman ibn, active 1049-1050."
"Ferreiro, José, 1738-1830."
"Caldera, Juan, 1897-1946."
"Aranda, Diego de, active 1554-1591."
"Alsamora, Onofre, approximately 1810-approximately 1880."
"Alvarez Cubero, José, 1768-1827."
"Amorós y Planelles, Manuel, 1862-1921."
"Alincbrot, Louis, -approximately 1463."
"Domingo, Luis, 1718-1770."
"Córdoba, Juan de, active 1470-1476."
"Durrio y Madrón, Francisco, 1875-1940."
"Elías Vallejo, Francisco, 1783-1858."
"Folch y Costa, José Antonio, 1768-1814."
"Gabino Pariente, Alfonso, 1894-"
"Arfe, Enrique de."
"Figueroa, Antonio Matías de, 1733?-1796."
"Figueroa, Leonardo de, approximately 1650-1730."
"Cuchy Arnau, José, 1857-1925."
"Bernardus, active 12th century."
"Centellas, Luis, active 1410-1440."
"Dalguayre, Benet, active 1366."
"Ega, Pedro de, active 1175."
"Cala Moya, José, 1850-"
"Carnicero, Isidro, 1736-1804."
"Domènech i Montaner, Lluís, 1849-1923."
"Brunet Torroll, Llorenç, 1873-1939."
"Cañaveral y Pérez, Alfonso, 1855-1932."
