RN,WNAM,[EMPTY],LCN,BDATN,BQN,BQEN,BDQN,DDATN,DQN,DQEN,DDQN,OPRN,OQN,OOQN,WDATES,SDATN,SDAT2N,CENN,CNUMN,SCHN,NSCHP,CLNON,MEDN,NBN,UDATN,FEM,CLN,UNCLN,SUPN,STAMPN,UPN,teaser,SORTNAME,FirstLetter,SEARCH,alts,holdings,bestname,,recid,notes,earliestdate,latestdate,latest,earliest,problem,teasterweb,event,more,teasterweb2,,
Record number (assigned by ,SAD main name,,Library of Congress name,Birth date year,Birth date qualifier (goes before year),Birth date qualifier (goes after year),Birth date display version,Death date year,Death date qualifier (goes before year),Death date qualifier (goes after year),Death date display version,Activity year,Activity date qualifier,Activity display version,Display date (goes in Date) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,"Dal¡, Salvador",,"Dal¡, Salvador, 1904-1989",1904,,,1904,1989,,,1989,,,,1904-1989,1904,1904,,,,Spanish,800,"Painter, printmaker, and sculptor","Worked in many media, but known primarily as a painter.",,,82,0,368,MPI |D 1990 10 04 |T 16:59:50,MLH2 |D 1997 10 27 |T 09:41:46,"Worked in many media, but known primarily as a painter...","Dal¡, Salvador",D,"Dal¡, Salvador Dal¡",Dal¡,820368,"Dal¡, Salvador, 1904-1989",yes,1350,"Worked in many media, but known primarily as a painter.",1904,1989,1989,1904,,"Worked in many media, but known primarily as a painter... &lt;a href='../montias/browserecord.php?-action=browse&amp;-recid=1350'&gt;more...&lt;/a&gt;","<event start='1904' end='1989' isDuration='true' title='Dal¡, Salvador' classname='Painter, printmaker, and sculptor' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>1904-1989; Painter, printmaker, and sculptor  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1350'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1350'&gt;more...&lt;/a&gt;,"1904-1989; Painter, printmaker, and sculptor",http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1350,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1350</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>
