RN,FRECN,ALT,authority,search,authimport
1,1,"Alarma, Salvador","Alarma Tastás, Salvador","Alarma, Salvador;  Alarma Tastás, Salvador","Alarma Tastás, Salvador"
2,1,"Tastás, Salvador Alarma*","Alarma Tastás, Salvador","Tastás, Salvador Alarma*;  Alarma Tastás, Salvador","Alarma Tastás, Salvador"
23,10,"Aburto Renovales, Rafael de","Aburto, Rafael","Aburto Renovales, Rafael de;  Aburto, Rafael","Aburto, Rafael"
24,10,"Abusto Renodales, Rafael","Aburto, Rafael","Abusto Renodales, Rafael;  Aburto, Rafael","Aburto, Rafael"
25,10,"Renovales, Rafael Aburto*","Aburto, Rafael","Renovales, Rafael Aburto*;  Aburto, Rafael","Aburto, Rafael"
189,100,"Alvarez, Lorenzo","Suárez, Lorenzo","Alvarez, Lorenzo;  Suárez, Lorenzo","Suárez, Lorenzo"
190,100,"Juárez, Lorenzo","Suárez, Lorenzo","Juárez, Lorenzo;  Suárez, Lorenzo","Suárez, Lorenzo"
1981,1001,"Baqué, Santiago Costa*","Costa Baqué, Santiago","Baqué, Santiago Costa*;  Costa Baqué, Santiago","Costa Baqué, Santiago"
1982,1001,"Costa, Santiago","Costa Baqué, Santiago","Costa, Santiago;  Costa Baqué, Santiago","Costa Baqué, Santiago"
1983,1001,"Costa Vaqué, Jaume","Costa Baqué, Santiago","Costa Vaqué, Jaume;  Costa Baqué, Santiago","Costa Baqué, Santiago"
1984,1001,"Costa Vaqué, Santiago","Costa Baqué, Santiago","Costa Vaqué, Santiago;  Costa Baqué, Santiago","Costa Baqué, Santiago"
1985,1002,"Pujol, Joaquima Costa*","Costa Pujol, Joaquima (or Joaquina)","Pujol, Joaquima Costa*;  Costa Pujol, Joaquima (or Joaquina)","Costa Pujol, Joaquima (or Joaquina)"
1986,1003,"Segura, Miquel Costa*","Costa Segura, Miquel (or Miguel)","Segura, Miquel Costa*;  Costa Segura, Miquel (or Miguel)","Costa Segura, Miquel (or Miguel)"
1987,1004,Solé. Josep Costa*,"Costa Solé, Josep (or José)","Solé. Josep Costa*;  Costa Solé, Josep (or José)","Costa Solé, Josep (or José)"
1988,1005,"Chacel, Emilio Cotter*","Cotter, Emilio","Chacel, Emilio Cotter*;  Cotter, Emilio","Cotter, Emilio"
1989,1005,"Cotter Chacel, Emilio","Cotter, Emilio","Cotter Chacel, Emilio;  Cotter, Emilio","Cotter, Emilio"
1990,1006,"Cristóbal González Quesada, Juan","Cristóbal, Juan","Cristóbal González Quesada, Juan;  Cristóbal, Juan","Cristóbal, Juan"
1991,1006,"González Quesada, Juan Cristóbal","Cristóbal, Juan","González Quesada, Juan Cristóbal;  Cristóbal, Juan","Cristóbal, Juan"
1992,1006,"Quesada, Juan Cristóbal González*","Cristóbal, Juan","Quesada, Juan Cristóbal González*;  Cristóbal, Juan","Cristóbal, Juan"
1993,1007,"Cristòfol Peralta, Leandre","Cristòfol, Leandre (or Leandro)","Cristòfol Peralta, Leandre;  Cristòfol, Leandre (or Leandro)","Cristòfol, Leandre (or Leandro)"
1994,1007,"Cristòfol (i) Peralba, Leandre","Cristòfol, Leandre (or Leandro)","Cristòfol (i) Peralba, Leandre;  Cristòfol, Leandre (or Leandro)","Cristòfol, Leandre (or Leandro)"
1995,1007,"Peralba, Leandre Cristòfol*","Cristòfol, Leandre (or Leandro)","Peralba, Leandre Cristòfol*;  Cristòfol, Leandre (or Leandro)","Cristòfol, Leandre (or Leandro)"
1996,1008,"Cotto, Pedro (O.)","Cotto, Pedro Onofre","Cotto, Pedro (O.);  Cotto, Pedro Onofre","Cotto, Pedro Onofre"
1997,1008,"Escoto, Pedro","Cotto, Pedro Onofre","Escoto, Pedro;  Cotto, Pedro Onofre","Cotto, Pedro Onofre"
1998,1009,"Collado, Antonio de la Cruz*","Cruz Collado, Antonio de la","Collado, Antonio de la Cruz*;  Cruz Collado, Antonio de la","Cruz Collado, Antonio de la"
191,101,"Ajuria, Matías Alvarez*","Alvarez Ajuria, Matías","Ajuria, Matías Alvarez*;  Alvarez Ajuria, Matías","Alvarez Ajuria, Matías"
1999,1010,"Cruz Herrera, José-Herrerilla","Cruz Herrera, José","Cruz Herrera, José-Herrerilla;  Cruz Herrera, José","Cruz Herrera, José"
2000,1010,"Herrera, José Cruz*","Cruz Herrera, José","Herrera, José Cruz*;  Cruz Herrera, José","Cruz Herrera, José"
2001,1011,"Martín, Miguel de la Cruz*","Cruz Martín, Miguel de la","Martín, Miguel de la Cruz*;  Cruz Martín, Miguel de la","Cruz Martín, Miguel de la"
2002,1012,"Canario, El (pseud.)","Cruz y Ríos, Luis de la","Canario, El (pseud.);  Cruz y Ríos, Luis de la","Cruz y Ríos, Luis de la"
2003,1012,"La Cruz y Ríos, Luis de","Cruz y Ríos, Luis de la","La Cruz y Ríos, Luis de;  Cruz y Ríos, Luis de la","Cruz y Ríos, Luis de la"
2004,1012,"Ríos, Luis de la Cruz*","Cruz y Ríos, Luis de la","Ríos, Luis de la Cruz*;  Cruz y Ríos, Luis de la","Cruz y Ríos, Luis de la"
2005,1014,"Collaut Valera, Lorenzo","Coullaut Valera, Lorenzo","Collaut Valera, Lorenzo;  Coullaut Valera, Lorenzo","Coullaut Valera, Lorenzo"
2006,1014,"Coullat Valera, Lorenzo","Coullaut Valera, Lorenzo","Coullat Valera, Lorenzo;  Coullaut Valera, Lorenzo","Coullaut Valera, Lorenzo"
2007,1014,"Valera, Lorenzo Coullaut*","Coullaut Valera, Lorenzo","Valera, Lorenzo Coullaut*;  Coullaut Valera, Lorenzo","Coullaut Valera, Lorenzo"
2008,1015,"Cuadra, Cipriano","Cuadra Jiménez, Cipriano","Cuadra, Cipriano;  Cuadra Jiménez, Cipriano","Cuadra Jiménez, Cipriano"
2009,1015,"Jiménez, Cipriano Cuadra*","Cuadra Jiménez, Cipriano","Jiménez, Cipriano Cuadra*;  Cuadra Jiménez, Cipriano","Cuadra Jiménez, Cipriano"
2010,1017,"Blas, Florenci Cuairan*","Cuairan Blas, Florenci (or Florencio)","Blas, Florenci Cuairan*;  Cuairan Blas, Florenci (or Florencio)","Cuairan Blas, Florenci (or Florencio)"
2011,1017,"Cuairan, Florencio","Cuairan Blas, Florenci (or Florencio)","Cuairan, Florencio;  Cuairan Blas, Florenci (or Florencio)","Cuairan Blas, Florenci (or Florencio)"
2012,1018,"Cuervo, Aquilino","Cuervo y Heras, Aquilino","Cuervo, Aquilino;  Cuervo y Heras, Aquilino","Cuervo y Heras, Aquilino"
2013,1018,"Heras, Aquilino Cuervo*","Cuervo y Heras, Aquilino","Heras, Aquilino Cuervo*;  Cuervo y Heras, Aquilino","Cuervo y Heras, Aquilino"
2014,1019,"Cusach y Cusachs, José","Cusachs Cusachs, Josep (or José)","Cusach y Cusachs, José;  Cusachs Cusachs, Josep (or José)","Cusachs Cusachs, Josep (or José)"
2015,1019,"Cusachs, José (or Josep)","Cusachs Cusachs, Josep (or José)","Cusachs, José (or Josep);  Cusachs Cusachs, Josep (or José)","Cusachs Cusachs, Josep (or José)"
2016,1019,"Cusachs, Josep Cusachs i","Cusachs Cusachs, Josep (or José)","Cusachs, Josep Cusachs i;  Cusachs Cusachs, Josep (or José)","Cusachs Cusachs, Josep (or José)"
192,102,"Algeciras, Germán Alvarez*","Alvarez Algeciras, Germán","Algeciras, Germán Alvarez*;  Alvarez Algeciras, Germán","Alvarez Algeciras, Germán"
2017,1020,"Codina, Victoriano","Codina y Langlin, Victoriano (or Victorià)","Codina, Victoriano;  Codina y Langlin, Victoriano (or Victorià)","Codina y Langlin, Victoriano (or Victorià)"
2018,1020,"Langlin, Victoriano Codina*","Codina y Langlin, Victoriano (or Victorià)","Langlin, Victoriano Codina*;  Codina y Langlin, Victoriano (or Victorià)","Codina y Langlin, Victoriano (or Victorià)"
2019,1021,"Cutanda, Vicente","Cutanda y Toraya, Vicente","Cutanda, Vicente;  Cutanda y Toraya, Vicente","Cutanda y Toraya, Vicente"
2020,1021,"Toraya, Vicente Cutanda*","Cutanda y Toraya, Vicente","Toraya, Vicente Cutanda*;  Cutanda y Toraya, Vicente","Cutanda y Toraya, Vicente"
2021,1022,"Sánchez, José Cuéllar*","Cuéllar Sánchez, José","Sánchez, José Cuéllar*;  Cuéllar Sánchez, José","Cuéllar Sánchez, José"
2022,1023,"Paretas, Llorenç Curet*","Curet Paretas, Llorenç (or Lorenzo)","Paretas, Llorenç Curet*;  Curet Paretas, Llorenç (or Lorenzo)","Curet Paretas, Llorenç (or Lorenzo)"
2023,1025,"Cusi, Manuel","Cusí Ferret, Manuel","Cusi, Manuel;  Cusí Ferret, Manuel","Cusí Ferret, Manuel"
2024,1025,"Ferret, Manuel Cusí*","Cusí Ferret, Manuel","Ferret, Manuel Cusí*;  Cusí Ferret, Manuel","Cusí Ferret, Manuel"
2025,1027,"Colet de la Fuente, Ricardo","Colet, Ricardo","Colet de la Fuente, Ricardo;  Colet, Ricardo","Colet, Ricardo"
2026,1027,"Fuente, Ricardo Colet de la*","Colet, Ricardo","Fuente, Ricardo Colet de la*;  Colet, Ricardo","Colet, Ricardo"
2027,1028,"Coll, Juan","Colí, Juan","Coll, Juan;  Colí, Juan","Colí, Juan"
2028,1029,"Coll, Marcos","Coll Gispert, Marcos","Coll, Marcos;  Coll Gispert, Marcos","Coll Gispert, Marcos"
2029,1029,"Gispert, Marcos Coll*","Coll Gispert, Marcos","Gispert, Marcos Coll*;  Coll Gispert, Marcos","Coll Gispert, Marcos"
193,103,"Armesto, Alvarez Primitivo","Alvarez Armesto, Primitivo","Armesto, Alvarez Primitivo;  Alvarez Armesto, Primitivo","Alvarez Armesto, Primitivo"
194,103,"Armesto, Primitivo","Alvarez Armesto, Primitivo","Armesto, Primitivo;  Alvarez Armesto, Primitivo","Alvarez Armesto, Primitivo"
195,103,"Armesto, Primitivo Alvarez*","Alvarez Armesto, Primitivo","Armesto, Primitivo Alvarez*;  Alvarez Armesto, Primitivo","Alvarez Armesto, Primitivo"
196,103,"Armesto Alvarez, Primitivo","Alvarez Armesto, Primitivo","Armesto Alvarez, Primitivo;  Alvarez Armesto, Primitivo","Alvarez Armesto, Primitivo"
2030,1030,"Covarsí, Adelardo","Covarsí Yustas, Adelardo","Covarsí, Adelardo;  Covarsí Yustas, Adelardo","Covarsí Yustas, Adelardo"
2031,1030,"Covarsí Justas, Adelardo","Covarsí Yustas, Adelardo","Covarsí Justas, Adelardo;  Covarsí Yustas, Adelardo","Covarsí Yustas, Adelardo"
2032,1030,"Yustas, Adelardo Covarsí*","Covarsí Yustas, Adelardo","Yustas, Adelardo Covarsí*;  Covarsí Yustas, Adelardo","Covarsí Yustas, Adelardo"
2033,1032,Collado,"Collado y Tejada, Pedro","Collado;  Collado y Tejada, Pedro","Collado y Tejada, Pedro"
2034,1032,"Collado, Pedro","Collado y Tejada, Pedro","Collado, Pedro;  Collado y Tejada, Pedro","Collado y Tejada, Pedro"
2035,1032,"Collado y Tejeda, Pedro","Collado y Tejada, Pedro","Collado y Tejeda, Pedro;  Collado y Tejada, Pedro","Collado y Tejada, Pedro"
2036,1032,"Tejada, Pedro Collado*","Collado y Tejada, Pedro","Tejada, Pedro Collado*;  Collado y Tejada, Pedro","Collado y Tejada, Pedro"
2037,1033,Collantes,"Collantes, Francisco","Collantes;  Collantes, Francisco","Collantes, Francisco"
2038,1034,"Bardolet Coll, Josep","Coll Bardolet, Josep (or José)","Bardolet Coll, Josep;  Coll Bardolet, Josep (or José)","Coll Bardolet, Josep (or José)"
2039,1034,"Coll Bardolet, J.","Coll Bardolet, Josep (or José)","Coll Bardolet, J.;  Coll Bardolet, Josep (or José)","Coll Bardolet, Josep (or José)"
2040,1036,"Colmeiro, Manuel","Colmeiro Guimarás, Manuel","Colmeiro, Manuel;  Colmeiro Guimarás, Manuel","Colmeiro Guimarás, Manuel"
2041,1036,"Guimarás, Manuel Colmeiro*","Colmeiro Guimarás, Manuel","Guimarás, Manuel Colmeiro*;  Colmeiro Guimarás, Manuel","Colmeiro Guimarás, Manuel"
2042,1037,"Colmena Solís, Javier","Colmena, Xavier (or Javier)","Colmena Solís, Javier;  Colmena, Xavier (or Javier)","Colmena, Xavier (or Javier)"
2043,1037,"Solís, Javier Colmena*","Colmena, Xavier (or Javier)","Solís, Javier Colmena*;  Colmena, Xavier (or Javier)","Colmena, Xavier (or Javier)"
2044,1038,"Las Cuevas, Eugenio de","Cuevas, Eugenio de las","Las Cuevas, Eugenio de;  Cuevas, Eugenio de las","Cuevas, Eugenio de las"
197,104,"Blanco, Rodrigo Alvarez*","Alvarez Blanco, Rodrigo","Blanco, Rodrigo Alvarez*;  Alvarez Blanco, Rodrigo","Alvarez Blanco, Rodrigo"
2045,1040,"Cotán, Juan Sánchez*","Sánchez Cotán, Juan","Cotán, Juan Sánchez*;  Sánchez Cotán, Juan","Sánchez Cotán, Juan"
2046,1041,"Castro, L.A. de","Castro, Leonardo Antonio de","Castro, L.A. de;  Castro, Leonardo Antonio de","Castro, Leonardo Antonio de"
2047,1041,"Castro, Leonardo de","Castro, Leonardo Antonio de","Castro, Leonardo de;  Castro, Leonardo Antonio de","Castro, Leonardo Antonio de"
2048,1041,"Castro Manjón, Leonardo de","Castro, Leonardo Antonio de","Castro Manjón, Leonardo de;  Castro, Leonardo Antonio de","Castro, Leonardo Antonio de"
2049,1041,"Manjón, Leonardo de Castro","Castro, Leonardo Antonio de","Manjón, Leonardo de Castro;  Castro, Leonardo Antonio de","Castro, Leonardo Antonio de"
2050,1042,"Hamusco, Antonio de","Amusco, Antonio de","Hamusco, Antonio de;  Amusco, Antonio de","Amusco, Antonio de"
2051,1043,"Camps, Leonardo","Camps González, Leonardo","Camps, Leonardo;  Camps González, Leonardo","Camps González, Leonardo"
2052,1043,"González, Leonardo Camps*","Camps González, Leonardo","González, Leonardo Camps*;  Camps González, Leonardo","Camps González, Leonardo"
2053,1044,"García Robés, Rogelio Gordon*","Gordon y García Robés, Rogelio","García Robés, Rogelio Gordon*;  Gordon y García Robés, Rogelio","Gordon y García Robés, Rogelio"
2054,1044,"Gordon, Rogelio","Gordon y García Robés, Rogelio","Gordon, Rogelio;  Gordon y García Robés, Rogelio","Gordon y García Robés, Rogelio"
2055,1045,"Collet, Eugenia","Millioud Grand Pierre, Eugènia","Collet, Eugenia;  Millioud Grand Pierre, Eugènia","Millioud Grand Pierre, Eugènia"
2056,1045,"Collet, Ninon","Millioud Grand Pierre, Eugènia","Collet, Ninon;  Millioud Grand Pierre, Eugènia","Millioud Grand Pierre, Eugènia"
2057,1045,"Grand Pierre, Eugènia Millioud*","Millioud Grand Pierre, Eugènia","Grand Pierre, Eugènia Millioud*;  Millioud Grand Pierre, Eugènia","Millioud Grand Pierre, Eugènia"
2058,1045,"Millioud de Collet, Eugènie Marguerite","Millioud Grand Pierre, Eugènia","Millioud de Collet, Eugènie Marguerite;  Millioud Grand Pierre, Eugènia","Millioud Grand Pierre, Eugènia"
2059,1047,"Collet Colomb, Charles","Collet, Charles","Collet Colomb, Charles;  Collet, Charles","Collet, Charles"
2060,1047,"Collet Colomb, Charles Henry","Collet, Charles","Collet Colomb, Charles Henry;  Collet, Charles","Collet, Charles"
2061,1047,"Collet Colomé, Carlos","Collet, Charles","Collet Colomé, Carlos;  Collet, Charles","Collet, Charles"
2062,1047,"Colomb, Charles Henry Collet*","Collet, Charles","Colomb, Charles Henry Collet*;  Collet, Charles","Collet, Charles"
2063,1048,"Cabana, Antonio","Cavanna y Pastor, Antonio","Cabana, Antonio;  Cavanna y Pastor, Antonio","Cavanna y Pastor, Antonio"
2064,1048,"Cavanna, Antonio","Cavanna y Pastor, Antonio","Cavanna, Antonio;  Cavanna y Pastor, Antonio","Cavanna y Pastor, Antonio"
2065,1048,"Pastor, Antonio Cavanna*","Cavanna y Pastor, Antonio","Pastor, Antonio Cavanna*;  Cavanna y Pastor, Antonio","Cavanna y Pastor, Antonio"
2066,1049,"Campaña, Master Pedro de","Campaña, Pedro de","Campaña, Master Pedro de;  Campaña, Pedro de","Campaña, Pedro de"
2067,1049,"Campana, Pedro","Campaña, Pedro de","Campana, Pedro;  Campaña, Pedro de","Campaña, Pedro de"
2068,1049,"Campaña the Elder, Pedro de","Campaña, Pedro de","Campaña the Elder, Pedro de;  Campaña, Pedro de","Campaña, Pedro de"
2069,1049,"Campanero, Master Pedro","Campaña, Pedro de","Campanero, Master Pedro;  Campaña, Pedro de","Campaña, Pedro de"
2070,1049,"Campania, Pedro (or Petrus)","Campaña, Pedro de","Campania, Pedro (or Petrus);  Campaña, Pedro de","Campaña, Pedro de"
2071,1049,"Campaniensis, Pedro (or Petrus)","Campaña, Pedro de","Campaniensis, Pedro (or Petrus);  Campaña, Pedro de","Campaña, Pedro de"
2072,1049,"Canpener, Pedro (or Peter)","Campaña, Pedro de","Canpener, Pedro (or Peter);  Campaña, Pedro de","Campaña, Pedro de"
2073,1049,"Kampener, Peter","Campaña, Pedro de","Kampener, Peter;  Campaña, Pedro de","Campaña, Pedro de"
2074,1049,"Kempeneer, Peeter (or Pedro, or Peter, or Pieter) (de)","Campaña, Pedro de","Kempeneer, Peeter (or Pedro, or Peter, or Pieter) (de);  Campaña, Pedro de","Campaña, Pedro de"
2075,1049,"Kempener, Pedro (or Peter) (de)","Campaña, Pedro de","Kempener, Pedro (or Peter) (de);  Campaña, Pedro de","Campaña, Pedro de"
2076,1049,"Kenpeneer, Pedro de","Campaña, Pedro de","Kenpeneer, Pedro de;  Campaña, Pedro de","Campaña, Pedro de"
2077,1049,"Pedro, Master","Campaña, Pedro de","Pedro, Master;  Campaña, Pedro de","Campaña, Pedro de"
198,105,"Alvarez, Luis","Alvarez Catalá, Luis (or Lluis)","Alvarez, Luis;  Alvarez Catalá, Luis (or Lluis)","Alvarez Catalá, Luis (or Lluis)"
199,105,"Alvarez (y) Catalán, Luis","Alvarez Catalá, Luis (or Lluis)","Alvarez (y) Catalán, Luis;  Alvarez Catalá, Luis (or Lluis)","Alvarez Catalá, Luis (or Lluis)"
200,105,"Catalá, Luis Alvarez*","Alvarez Catalá, Luis (or Lluis)","Catalá, Luis Alvarez*;  Alvarez Catalá, Luis (or Lluis)","Alvarez Catalá, Luis (or Lluis)"
2078,1050,"Alesio, Mateo Pérez de","Pérez de Alesio, Mateo","Alesio, Mateo Pérez de;  Pérez de Alesio, Mateo","Pérez de Alesio, Mateo"
2079,1050,"Alessio, Matteo Pérez de","Pérez de Alesio, Mateo","Alessio, Matteo Pérez de;  Pérez de Alesio, Mateo","Pérez de Alesio, Mateo"
2080,1050,Mateo de Lecce,"Pérez de Alesio, Mateo","Mateo de Lecce;  Pérez de Alesio, Mateo","Pérez de Alesio, Mateo"
2081,1050,Mateo de Leccio,"Pérez de Alesio, Mateo","Mateo de Leccio;  Pérez de Alesio, Mateo","Pérez de Alesio, Mateo"
2082,1050,Matteo da Lecce,"Pérez de Alesio, Mateo","Matteo da Lecce;  Pérez de Alesio, Mateo","Pérez de Alesio, Mateo"
2083,1050,Matteo da Leccio,"Pérez de Alesio, Mateo","Matteo da Leccio;  Pérez de Alesio, Mateo","Pérez de Alesio, Mateo"
2084,1050,Pérez de Alesio,"Pérez de Alesio, Mateo","Pérez de Alesio;  Pérez de Alesio, Mateo","Pérez de Alesio, Mateo"
2085,1050,"Pérez de Alessio, Mateo","Pérez de Alesio, Mateo","Pérez de Alessio, Mateo;  Pérez de Alesio, Mateo","Pérez de Alesio, Mateo"
2086,1050,"Pérez da (or de) Lecce, Mateo (or Matteo)","Pérez de Alesio, Mateo","Pérez da (or de) Lecce, Mateo (or Matteo);  Pérez de Alesio, Mateo","Pérez de Alesio, Mateo"
2087,1050,"Pérez de Leccio, Mateo","Pérez de Alesio, Mateo","Pérez de Leccio, Mateo;  Pérez de Alesio, Mateo","Pérez de Alesio, Mateo"
2088,1051,"Vaeça, Gaspar de","Baeza, Gaspar de","Vaeça, Gaspar de;  Baeza, Gaspar de","Baeza, Gaspar de"
2089,1053,Pedro de Flandes,"Flandes, Pedro de","Pedro de Flandes;  Flandes, Pedro de","Flandes, Pedro de"
2090,1053,Pedro de Flandres,"Flandes, Pedro de","Pedro de Flandres;  Flandes, Pedro de","Flandes, Pedro de"
2091,1055,"Capitán, El","Toledo, Juan de","Capitán, El;  Toledo, Juan de","Toledo, Juan de"
2092,1055,"De Toledo, Juan","Toledo, Juan de","De Toledo, Juan;  Toledo, Juan de","Toledo, Juan de"
2093,1055,Juan de Toledo,"Toledo, Juan de","Juan de Toledo;  Toledo, Juan de","Toledo, Juan de"
2094,1055,"Toledo, El Capitán Juan de","Toledo, Juan de","Toledo, El Capitán Juan de;  Toledo, Juan de","Toledo, Juan de"
2095,1055,"Toledo, Juan Bautista de","Toledo, Juan de","Toledo, Juan Bautista de;  Toledo, Juan de","Toledo, Juan de"
2096,1055,"Toledo II, Juan de","Toledo, Juan de","Toledo II, Juan de;  Toledo, Juan de","Toledo, Juan de"
2097,1056,"Acosta, A.A.","Aguila Acosta, A[dolfo]","Acosta, A.A.;  Aguila Acosta, A[dolfo]","Aguila Acosta, A[dolfo]"
2098,1056,"Acosta, A. Aguila","Aguila Acosta, A[dolfo]","Acosta, A. Aguila;  Aguila Acosta, A[dolfo]","Aguila Acosta, A[dolfo]"
2099,1056,"Acosta, A[dolfo] Aguila*","Aguila Acosta, A[dolfo]","Acosta, A[dolfo] Aguila*;  Aguila Acosta, A[dolfo]","Aguila Acosta, A[dolfo]"
2100,1056,"Aguila, A.","Aguila Acosta, A[dolfo]","Aguila, A.;  Aguila Acosta, A[dolfo]","Aguila Acosta, A[dolfo]"
2101,1056,"Aguila, Adolfo de","Aguila Acosta, A[dolfo]","Aguila, Adolfo de;  Aguila Acosta, A[dolfo]","Aguila Acosta, A[dolfo]"
201,106,"Coll, Miquelina Alvarez*","Alvarez Coll, Miquelina","Coll, Miquelina Alvarez*;  Alvarez Coll, Miquelina","Alvarez Coll, Miquelina"
2102,1060,"Aguilar, Antonio","Aguilar Casado, Antonio","Aguilar, Antonio;  Aguilar Casado, Antonio","Aguilar Casado, Antonio"
2103,1060,"Casado, Antonio Aguilar*","Aguilar Casado, Antonio","Casado, Antonio Aguilar*;  Aguilar Casado, Antonio","Aguilar Casado, Antonio"
2104,1061,"Vidiella, Pere Badía*","Badía Vidiella, Pere (or Pedro)","Vidiella, Pere Badía*;  Badía Vidiella, Pere (or Pedro)","Badía Vidiella, Pere (or Pedro)"
2105,1062,"Carrillo, Marcos Baeza*","Baeza y Carrillo, Marcos","Carrillo, Marcos Baeza*;  Baeza y Carrillo, Marcos","Baeza y Carrillo, Marcos"
2106,1063,"Balasanz, Victoriano","Balasanz Sánchez, Victorino","Balasanz, Victoriano;  Balasanz Sánchez, Victorino","Balasanz Sánchez, Victorino"
2107,1063,"Sánchez, Victorino Balasanz*","Balasanz Sánchez, Victorino","Sánchez, Victorino Balasanz*;  Balasanz Sánchez, Victorino","Balasanz Sánchez, Victorino"
2108,1064,"Ayguals de Izco, Juan Ballester*","Ballester Ayguals de Izco, Juan (or Joan)","Ayguals de Izco, Juan Ballester*;  Ballester Ayguals de Izco, Juan (or Joan)","Ballester Ayguals de Izco, Juan (or Joan)"
2109,1064,"Ballester Aiguals de Izco, Juan","Ballester Ayguals de Izco, Juan (or Joan)","Ballester Aiguals de Izco, Juan;  Ballester Ayguals de Izco, Juan (or Joan)","Ballester Ayguals de Izco, Juan (or Joan)"
2110,1064,"Ballester y Ayguals, Juan","Ballester Ayguals de Izco, Juan (or Joan)","Ballester y Ayguals, Juan;  Ballester Ayguals de Izco, Juan (or Joan)","Ballester Ayguals de Izco, Juan (or Joan)"
2111,1065,"Pineda, Eduardo Banda*","Banda y Pineda, Eduardo","Pineda, Eduardo Banda*;  Banda y Pineda, Eduardo","Banda y Pineda, Eduardo"
2112,1066,"Barea y García, Gumersindo","Barea, Gumersindo","Barea y García, Gumersindo;  Barea, Gumersindo","Barea, Gumersindo"
2113,1066,"García, Gumersindo Barea*","Barea, Gumersindo","García, Gumersindo Barea*;  Barea, Gumersindo","Barea, Gumersindo"
2114,1068,"Asteínza, Benito Barrueta","Barrueta Asteínza, Benito","Asteínza, Benito Barrueta;  Barrueta Asteínza, Benito","Barrueta Asteínza, Benito"
2115,1068,"Barrueta, Benito","Barrueta Asteínza, Benito","Barrueta, Benito;  Barrueta Asteínza, Benito","Barrueta Asteínza, Benito"
2116,1068,"Barrueta-Astensia, Benito","Barrueta Asteínza, Benito","Barrueta-Astensia, Benito;  Barrueta Asteínza, Benito","Barrueta Asteínza, Benito"
2117,1068,"Berroeta, P. de","Barrueta Asteínza, Benito","Berroeta, P. de;  Barrueta Asteínza, Benito","Barrueta Asteínza, Benito"
2118,1069,"Barruso Ciria, Epifanio","Barruso, Epifanio","Barruso Ciria, Epifanio;  Barruso, Epifanio","Barruso, Epifanio"
2119,1069,"Ciria, Epifanio Barruso*","Barruso, Epifanio","Ciria, Epifanio Barruso*;  Barruso, Epifanio","Barruso, Epifanio"
202,107,"Dumont, César Alvarez*","Alvarez Dumont, César","Dumont, César Alvarez*;  Alvarez Dumont, César","Alvarez Dumont, César"
2120,1070,"Bartolozzi Rubio, Salvador","Bartolozzi, Salvador","Bartolozzi Rubio, Salvador;  Bartolozzi, Salvador","Bartolozzi, Salvador"
2121,1070,"Rubio, Salvador Bartolozzi*","Bartolozzi, Salvador","Rubio, Salvador Bartolozzi*;  Bartolozzi, Salvador","Bartolozzi, Salvador"
2122,1071,"Ballester, Joaquín Cabanyes*","Cabanyes y Ballester, Joaquín (or Joaquim)","Ballester, Joaquín Cabanyes*;  Cabanyes y Ballester, Joaquín (or Joaquim)","Cabanyes y Ballester, Joaquín (or Joaquim)"
2123,1071,"Cabanyes, Joaquín de","Cabanyes y Ballester, Joaquín (or Joaquim)","Cabanyes, Joaquín de;  Cabanyes y Ballester, Joaquín (or Joaquim)","Cabanyes y Ballester, Joaquín (or Joaquim)"
2124,1072,"Cabanyes, Alejandro (or Alexandre) (de)","Cabanyes Marqués, Alexandre (or Alejandro) de","Cabanyes, Alejandro (or Alexandre) (de);  Cabanyes Marqués, Alexandre (or Alejandro) de","Cabanyes Marqués, Alexandre (or Alejandro) de"
2125,1072,"Marqués, Alexandre de Cabanyes*","Cabanyes Marqués, Alexandre (or Alejandro) de","Marqués, Alexandre de Cabanyes*;  Cabanyes Marqués, Alexandre (or Alejandro) de","Cabanyes Marqués, Alexandre (or Alejandro) de"
2126,1073,"Fernández Espino, José de la Bastida*","Bastida y Fernández Espino, José de la","Fernández Espino, José de la Bastida*;  Bastida y Fernández Espino, José de la","Bastida y Fernández Espino, José de la"
2127,1074,"Montemayor, Pedro Barragán*","Barragán Montemayor, Pedro","Montemayor, Pedro Barragán*;  Barragán Montemayor, Pedro","Barragán Montemayor, Pedro"
2128,1075,"Ainaud, Manuel","Ainaud Sánchez, Manuel","Ainaud, Manuel;  Ainaud Sánchez, Manuel","Ainaud Sánchez, Manuel"
2129,1075,"Sánchez, Manuel Ainaud i","Ainaud Sánchez, Manuel","Sánchez, Manuel Ainaud i;  Ainaud Sánchez, Manuel","Ainaud Sánchez, Manuel"
2130,1078,"Cabral y Lland, Enrique","Cabral y Llano, Enrique","Cabral y Lland, Enrique;  Cabral y Llano, Enrique","Cabral y Llano, Enrique"
2131,1078,"Llano, Enrique Cabral*","Cabral y Llano, Enrique","Llano, Enrique Cabral*;  Cabral y Llano, Enrique","Cabral y Llano, Enrique"
2132,1079,"Cabrinety Guiteres, Juan Antonio","Cabrinety Guiteres, Juan (or Joan)","Cabrinety Guiteres, Juan Antonio;  Cabrinety Guiteres, Juan (or Joan)","Cabrinety Guiteres, Juan (or Joan)"
