RN,FRECN,ALT,authority,search,authimport
121,68,"Alcoverro (y) Amorós, José (or Josep) María","Alcoverro y Amorós, José (or Josep)","Alcoverro (y) Amorós, José (or Josep) María;  Alcoverro y Amorós, José (or Josep)","Alcoverro y Amorós, José (or Josep)"
122,68,"Amorós, José Alcoverro*","Alcoverro y Amorós, José (or Josep)","Amorós, José Alcoverro*;  Alcoverro y Amorós, José (or Josep)","Alcoverro y Amorós, José (or Josep)"
1323,680,"Cerdans Reguant, José (or Josep)","Cerdans, José (or Josep)","Cerdans Reguant, José (or Josep);  Cerdans, José (or Josep)","Cerdans, José (or Josep)"
1324,680,"Reguant, José Cerdans*","Cerdans, José (or Josep)","Reguant, José Cerdans*;  Cerdans, José (or Josep)","Cerdans, José (or Josep)"
1325,681,"Bazcardo, Juan","Bascardo, Juan","Bazcardo, Juan;  Bascardo, Juan","Bascardo, Juan"
1326,681,"Vascardo, Juan","Bascardo, Juan","Vascardo, Juan;  Bascardo, Juan","Bascardo, Juan"
1327,681,"Vazcardo, Juan","Bascardo, Juan","Vazcardo, Juan;  Bascardo, Juan","Bascardo, Juan"
1328,682,"Beaubes, (Fray) Juan de","Beauvés, Fray Juan de","Beaubes, (Fray) Juan de;  Beauvés, Fray Juan de","Beauvés, Fray Juan de"
1329,682,"Beauvais, Fray Juan de","Beauvés, Fray Juan de","Beauvais, Fray Juan de;  Beauvés, Fray Juan de","Beauvés, Fray Juan de"
1330,682,"Beobes, (Fray) Juan de","Beauvés, Fray Juan de","Beobes, (Fray) Juan de;  Beauvés, Fray Juan de","Beauvés, Fray Juan de"
1331,684,"Almonaçer, Sebastián de","Almonacid, Sebastián de","Almonaçer, Sebastián de;  Almonacid, Sebastián de","Almonacid, Sebastián de"
1332,684,"Almonacir, Sebastián de","Almonacid, Sebastián de","Almonacir, Sebastián de;  Almonacid, Sebastián de","Almonacid, Sebastián de"
1333,684,Almonasyir,"Almonacid, Sebastián de","Almonasyir;  Almonacid, Sebastián de","Almonacid, Sebastián de"
1334,685,"Costa, Caetano da","Acosta, Cayetano","Costa, Caetano da;  Acosta, Cayetano","Acosta, Cayetano"
1335,685,"Costa, Caetano Alberto da","Acosta, Cayetano","Costa, Caetano Alberto da;  Acosta, Cayetano","Acosta, Cayetano"
1336,687,"Aleixandre, José","Alexandre Ezquerra, José","Aleixandre, José;  Alexandre Ezquerra, José","Alexandre Ezquerra, José"
1337,687,Alexandre,"Alexandre Ezquerra, José","Alexandre;  Alexandre Ezquerra, José","Alexandre Ezquerra, José"
1338,687,"Alexandre, José (or Joseph)","Alexandre Ezquerra, José","Alexandre, José (or Joseph);  Alexandre Ezquerra, José","Alexandre Ezquerra, José"
1339,687,"Ezquerra, José Alexandre*","Alexandre Ezquerra, José","Ezquerra, José Alexandre*;  Alexandre Ezquerra, José","Alexandre Ezquerra, José"
1340,688,"Aquiles, Antonio de","Aquilín, Antonio de","Aquiles, Antonio de;  Aquilín, Antonio de","Aquilín, Antonio de"
1341,689,"Arizmendi, Juan de","Arismendi, Juan de","Arizmendi, Juan de;  Arismendi, Juan de","Arismendi, Juan de"
123,69,"Alcoberro y López, José","Alcoverro y López, José","Alcoberro y López, José;  Alcoverro y López, José","Alcoverro y López, José"
124,69,"Alcovero y López, José","Alcoverro y López, José","Alcovero y López, José;  Alcoverro y López, José","Alcoverro y López, José"
125,69,"Alcoverro y López, José María","Alcoverro y López, José","Alcoverro y López, José María;  Alcoverro y López, José","Alcoverro y López, José"
126,69,"López, José Alcoverro*","Alcoverro y López, José","López, José Alcoverro*;  Alcoverro y López, José","Alcoverro y López, José"
1342,690,"Balduc, Juan Mateo de","Bolduque, Juan Mateo de","Balduc, Juan Mateo de;  Bolduque, Juan Mateo de","Bolduque, Juan Mateo de"
1343,690,"Balduque, Juan Mateo de","Bolduque, Juan Mateo de","Balduque, Juan Mateo de;  Bolduque, Juan Mateo de","Bolduque, Juan Mateo de"
1344,690,"Bolduc, Juan Mateo (de)","Bolduque, Juan Mateo de","Bolduc, Juan Mateo (de);  Bolduque, Juan Mateo de","Bolduque, Juan Mateo de"
1345,690,"Bolduc, Mateo","Bolduque, Juan Mateo de","Bolduc, Mateo;  Bolduque, Juan Mateo de","Bolduque, Juan Mateo de"
1346,690,"Bolduque, Mateo","Bolduque, Juan Mateo de","Bolduque, Mateo;  Bolduque, Juan Mateo de","Bolduque, Juan Mateo de"
1347,690,"Borduque, Juan Mateo de","Bolduque, Juan Mateo de","Borduque, Juan Mateo de;  Bolduque, Juan Mateo de","Bolduque, Juan Mateo de"
1348,690,"Velduque, Juan Mateo de","Bolduque, Juan Mateo de","Velduque, Juan Mateo de;  Bolduque, Juan Mateo de","Bolduque, Juan Mateo de"
1349,691,"Balduc, Pedro de","Bolduque, Pedro de","Balduc, Pedro de;  Bolduque, Pedro de","Bolduque, Pedro de"
1350,691,"Balduque, Pedro de","Bolduque, Pedro de","Balduque, Pedro de;  Bolduque, Pedro de","Bolduque, Pedro de"
1351,691,"Bolduc, Pedro (de)","Bolduque, Pedro de","Bolduc, Pedro (de);  Bolduque, Pedro de","Bolduque, Pedro de"
1352,691,"Boldusque, Pedro de","Bolduque, Pedro de","Boldusque, Pedro de;  Bolduque, Pedro de","Bolduque, Pedro de"
