RN,WNAM,,LCN,FRESCOSH,BDATN,BQN,BQEN,BDQN,DDATN,DQN,DQEN,DDQN,OPRN,OQN,OOQN,WDATES,SDATN,SDAT2N,CENN,CNUMN,SCHN,NSCHP,CLNON,MEDN,NBN,UDATN,FEM,CLN,UNCLN,SUPN,STAMPN,UPN,teaser,SORTNAME,FirstLetter,SEARCH,alts,holdings,bestname,,recid,notes,earliestdate,latestdate,latest,earliest,problem,teasterweb,event,more,teasterweb2,,,
5240,"García, Julia",,"García, Julia, active 19th century",,,,,,,,,,,,op.last third 19th C.,op.last third 19th C.,1799n,1799n,op.last third 19th C.,1799n,Andalusia,Spanish,800,,,,Y,,,,CDEA |D 1994 11 01 |T 11:55:25,CDEA |D 1994 11 01 |T 11:55:25,,"García, Julia",G,"García, Julia ",,,"García, Julia, active 19th century",,1942,Andalusia. ,1799n,0,1899,1799,,,"<event start='1799' end='1899' isDuration='true' title='García, Julia' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>op.last third 19th C.; Andalusia  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1942'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1942'&gt;more...&lt;/a&gt;,op.last third 19th C.; Andalusia,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1942,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1942</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
1981,"Garnelo y Aparicio, Eloísa",,"Garnelo y Aparicio, Eloísa, 1863-1907",,1863,,,1863,1907,,,1907,,,,1863-1907,1863,1863,,,Valencia,Spanish,800,,,,Y,,,,JRV |D 1991 05 24 |T 12:01:04,JRV |D 1991 05 24 |T 12:01:04,,"Garnelo y Aparicio, Eloísa",G,"Garnelo y Aparicio, Eloísa Aparicio, Eloísa Garnelo*","Aparicio, Eloísa Garnelo*",,"Garnelo y Aparicio, Eloísa, 1863-1907",,1957,Valencia. ,1863,1907,1907,1863,,,"<event start='1863' end='1907' isDuration='true' title='Garnelo y Aparicio, Eloísa' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>1863-1907; Valencia  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1957'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1957'&gt;more...&lt;/a&gt;,1863-1907; Valencia,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1957,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1957</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
3250,"Garrido y Agudo, María de la Soledad",,"Garrido y Agudo, María de la Soledad",,,,,,,,,,1876-1878,exh.,exh.1876-1878,exh.1876-1878,1876,1876,,,Salamanca and Madrid,Spanish,800,,,,y,,,,DMR |D 1994 06 02 |T 11:56:04,DMR |D 1994 06 02 |T 11:56:04,,"Garrido y Agudo, María de la Soledad",G,"Garrido y Agudo, María de la Soledad Agudo, María de la Soledad Garrido*","Agudo, María de la Soledad Garrido*",,"Garrido y Agudo, María de la Soledad",,1960,Salamanca and Madrid. ,1876,1878,1878,1876,,,"<event start='1876' end='1878' isDuration='true' title='Garrido y Agudo, María de la Soledad' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1876-1878; Salamanca and Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1960'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1960'&gt;more...&lt;/a&gt;,exh.1876-1878; Salamanca and Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1960,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1960</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
2755,"Garvey de San Juan, María",,"Garvey de San Juan, María, 1827-1918",,1827,,,1827,1918,,,1918,,,,1827-1918,1827,1827,,,Cádiz; Madrid,Spanish,800,,,,Y,,,,SME |D 1993 05 25 |T 11:25:00,SME |D 1993 05 25 |T 11:25:00,,"Garvey de San Juan, María",G,"Garvey de San Juan, María San Juan, María Garvey de*","San Juan, María Garvey de*",,"Garvey de San Juan, María, 1827-1918",,1970,Cádiz; Madrid. ,1827,1918,1918,1827,,,"<event start='1827' end='1918' isDuration='true' title='Garvey de San Juan, María' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>1827-1918; Cádiz; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1970'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1970'&gt;more...&lt;/a&gt;,1827-1918; Cádiz; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1970,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1970</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5249,"Gasset Ros, Lidia",,"Gasset Ros, Lidia, active 1898",,,,,,,,,,1898,exh.,exh.1898,exh.1898,1898,1898,,,Barcelona,Spanish,800,,,,Y,,,,CDEA |D 1994 11 01 |T 13:55:50,CDEA |D 1994 11 01 |T 13:55:50,,"Gasset Ros, Lidia",G,"Gasset Ros, Lidia Ros, Lidia Gasset*","Ros, Lidia Gasset*",,"Gasset Ros, Lidia, active 1898",,1979,Barcelona. ,1898,1898,1898,1898,,,"<event start='1898' end='1898' isDuration='true' title='Gasset Ros, Lidia' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1898; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1979'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1979'&gt;more...&lt;/a&gt;,exh.1898; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1979,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1979</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
2663,"Gassó y Vidal, Leopolda",,"Gassó y Vidal, Leopolda, 1849-1885",,1849,,,1849,1885,,,1885,,,,1849-1885,1849,1849,,,Madrid,Spanish,800,,,,Y,,,,SME |D 1993 04 27 |T 10:09:12,SME |D 1993 04 27 |T 10:09:12,,"Gassó y Vidal, Leopolda",G,"Gassó y Vidal, Leopolda Gassó, L.","Gassó, L.",,"Gassó y Vidal, Leopolda, 1849-1885",,1981,Madrid. ,1849,1885,1885,1849,,,"<event start='1849' end='1885' isDuration='true' title='Gassó y Vidal, Leopolda' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>1849-1885; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1981'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1981'&gt;more...&lt;/a&gt;,1849-1885; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1981,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1981</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
2517,"Gasull, María",,"Gasull, María, active 1894",,,,,,,,,,1894,exh.,exh.1894,exh.1894,1894,1894,,,Barcelona,Spanish,800,,,,y,,,,BLR |D 1993 02 25 |T 10:12:26,BLR |D 1993 02 25 |T 10:12:26,,"Gasull, María",G,"Gasull, María ",,,"Gasull, María, active 1894",,1984,Barcelona. ,1894,1894,1894,1894,,,"<event start='1894' end='1894' isDuration='true' title='Gasull, María' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1894; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1984'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1984'&gt;more...&lt;/a&gt;,exh.1894; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1984,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1984</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
2581,"Gatuellas Ferrer, María",,"Gatuellas Ferrer, María, active 1920-1921",,,,,,,,,,1920-1921,exh.,exh.1920-1921,exh.1920-1921,1920,1920,,,Barcelona,Spanish,800,,,,Y,,,,BY |D 1993 03 15 |T 12:56:15,BY |D 1993 03 15 |T 12:56:15,,"Gatuellas Ferrer, María",G,"Gatuellas Ferrer, María Ferrer, María Gatuellas*","Ferrer, María Gatuellas*",,"Gatuellas Ferrer, María, active 1920-1921",,1987,Barcelona. ,1920,1921,1921,1920,,,"<event start='1920' end='1921' isDuration='true' title='Gatuellas Ferrer, María' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1920-1921; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1987'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1987'&gt;more...&lt;/a&gt;,exh.1920-1921; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1987,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1987</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5459,"Gerino, Rosalía",,"Gerino, Rosalía, active 1832",,,,,,,,,,1832,doc.,doc.1832,doc.1832,1832,1832,,,Madrid,Spanish,800,,,,Y,,,,CDEA |D 1994 11 23 |T 11:51:43,CDEA |D 1994 11 23 |T 11:51:43,,"Gerino, Rosalía",G,"Gerino, Rosalía Gerino, R.","Gerino, R.",,"Gerino, Rosalía, active 1832",,1996,Madrid. ,1832,1832,1832,1832,,,"<event start='1832' end='1832' isDuration='true' title='Gerino, Rosalía' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>doc.1832; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1996'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=1996'&gt;more...&lt;/a&gt;,doc.1832; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1996,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=1996</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
2159,"Gessler Shaw, Alejandrina",,"Gessler Shaw, Alejandrina, 1861-1907",,1831,,,1831,1907,,,1907,,,,1831-1907,1831,1831,,,Cádiz,Spanish,800,,Also known as an author.,,Y,,,,SCR |D 1991 08 12 |T 16:39:10,SCR |D 1991 08 12 |T 16:39:10,Also known as an author...,"Gessler Shaw, Alejandrina",G,"Gessler Shaw, Alejandrina Anselma, Madama (or Madame, or Mme) (pseud.)","Anselma, Madama (or Madame, or Mme) (pseud.)",,"Gessler Shaw, Alejandrina, 1861-1907",,2000,Cádiz. Also known as an author.,1831,1907,1907,1831,,Also known as an author... &lt;a href='../montias/browserecord.php?-action=browse&amp;-recid=2000'&gt;more...&lt;/a&gt;,"<event start='1831' end='1907' isDuration='true' title='Gessler Shaw, Alejandrina' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>1831-1907; Cádiz  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2000'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2000'&gt;more...&lt;/a&gt;,1831-1907; Cádiz,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2000,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2000</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5251,"Gil Sanz Arévalo, Teresa",,"Gil Sanz Arévalo, Teresa, active 1906",,,,,,,,,,1906,exh.,exh.1906,exh.1906,1906,1906,,,Madrid,Spanish,800,,,,Y,,,,CDEA |D 1994 11 01 |T 15:28:41,CDEA |D 1994 11 01 |T 15:28:41,,"Gil Sanz Arévalo, Teresa",G,"Gil Sanz Arévalo, Teresa Arévalo, Teresa Gil Sanz*","Arévalo, Teresa Gil Sanz*",,"Gil Sanz Arévalo, Teresa, active 1906",,2016,Madrid. ,1906,1906,1906,1906,,,"<event start='1906' end='1906' isDuration='true' title='Gil Sanz Arévalo, Teresa' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1906; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2016'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2016'&gt;more...&lt;/a&gt;,exh.1906; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2016,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2016</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5250,"Gil, Catalina",,"Gil, Catalina, active 1871",,,,,,,,,,1871,exh.,exh.1871,exh.1871,1871,1871,,,,Spanish,800,,,,Y,,,,CDEA |D 1994 11 01 |T 15:24:38,MLH |D 1998 09 23 |T 10:29:52,,"Gil, Catalina",G,"Gil, Catalina ",,,"Gil, Catalina, active 1871",,2019,,1871,1871,1871,1871,,,"<event start='1871' end='1871' isDuration='true' title='Gil, Catalina' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1871  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2019'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2019'&gt;more...&lt;/a&gt;,exh.1871,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2019,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2019</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
2624,"Gilabert, María Lucía",,"Gilabert, María Lucía, active 1790-1827",,,,,,,,,,1790-exh.1827,doc.,doc.1790-exh.1827,doc.1790-exh.1827,1790,1790,,,Madrid,Spanish,800,Painter and sculptor,,,y,,,,EG |D 1993 04 05 |T 11:11:30,EG |D 1993 04 05 |T 11:11:30,,"Gilabert, María Lucía",G,"Gilabert, María Lucía Gilabert, María Luisa","Gilabert, María Luisa",,"Gilabert, María Lucía, active 1790-1827",,2025,Madrid. ,1790,1827,1827,1790,,,"<event start='1790' end='1827' isDuration='true' title='Gilabert, María Lucía' classname='Painter and sculptor' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>doc.1790-exh.1827; Painter and sculptor; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2025'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2025'&gt;more...&lt;/a&gt;,doc.1790-exh.1827; Painter and sculptor; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2025,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2025</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
3251,"Gilarte, Magdalena",,"Gilarte, Magdalena, active approximately 1700",,,,,,,,,,1700,op.c.,op.c.1700,op.c.1700,1700,1700,,,Toledo,Spanish,800,,"In 1964, Pérez Sánchez suggested that in recording this artist, Palomino may have been referring to Leonor, Mateo Gilarte's daughter by his first marriage, who is not known to have been a painter.",,y,,,,DMR |D 1994 06 02 |T 12:22:29,DMR |D 1994 06 02 |T 12:22:29,"In 1964, Pérez Sánchez suggested that in recording this artist...","Gilarte, Magdalena",G,"Gilarte, Magdalena Gilart, Magdalena","Gilart, Magdalena",,"Gilarte, Magdalena, active approximately 1700",,2026,"Toledo. In 1964, Pérez Sánchez suggested that in recording this artist, Palomino may have been referring to Leonor, Mateo Gilarte's daughter by his first marriage, who is not known to have been a painter.",1700,1700,1700,1700,,"In 1964, Pérez Sánchez suggested that in recording this artist... &lt;a href='../montias/browserecord.php?-action=browse&amp;-recid=2026'&gt;more...&lt;/a&gt;","<event start='1700' end='1700' isDuration='true' title='Gilarte, Magdalena' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>op.c.1700; Toledo  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2026'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2026'&gt;more...&lt;/a&gt;,op.c.1700; Toledo,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2026,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2026</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
2029,"Ginés y Ortiz, Adela",,"Ginés y Ortiz, Adela, 1847-",,1847,n.,,n.1847,,,,,1917,op.,op.1917,n.1847-op.1917,1847,1847,,,Madrid,Spanish,800,Painter and sculptor,,,Y,,,1,JRV |D 1991 06 14 |T 09:54:00,JRV |D 1991 06 14 |T 09:54:00,,"Ginés y Ortiz, Adela",G,"Ginés y Ortiz, Adela Ginés, A.","Ginés, A.",1,"Ginés y Ortiz, Adela, 1847-",,2046,Madrid. ,1847,1917,1917,1847,,,"<event start='1847' end='1917' isDuration='true' title='Ginés y Ortiz, Adela' classname='Painter and sculptor' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>n.1847-op.1917; Painter and sculptor; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2046'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2046'&gt;more...&lt;/a&gt;,n.1847-op.1917; Painter and sculptor; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2046,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2046</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5252,"Gironella Escuder, Matilde",,"Gironella Escuder, Matilde, 1899-",,1899,n.,,n.1899,,,,,,,,n.1899-,1899,1899,,,Barcelona,Spanish,800,,,,Y,,,,CDEA |D 1994 11 01 |T 15:38:18,CDEA |D 1994 11 01 |T 15:38:18,,"Gironella Escuder, Matilde",G,"Gironella Escuder, Matilde Escuder, Matilde Gironella*","Escuder, Matilde Gironella*",,"Gironella Escuder, Matilde, 1899-",,2057,Barcelona. ,1899,899,1899,1899,,,"<event start='1899' end='1899' isDuration='true' title='Gironella Escuder, Matilde' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>n.1899-; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2057'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2057'&gt;more...&lt;/a&gt;,n.1899-; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2057,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2057</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
2516,"Gisbert, J.G.",,"Gisbert, J.G., active 1894",,,,,,,,,,1894,exh.,exh.1894,exh.1894,1894,1894,,,Barcelona,Spanish,800,Sculptor,,,y,,,,BLR |D 1993 02 25 |T 10:08:52,BLR |D 1993 02 25 |T 10:08:52,,"Gisbert, J.G.",G,"Gisbert, J.G. ",,,"Gisbert, J.G., active 1894",,2060,Barcelona. ,1894,1894,1894,1894,,,"<event start='1894' end='1894' isDuration='true' title='Gisbert, J.G.' classname='Sculptor' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1894; Sculptor; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2060'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2060'&gt;more...&lt;/a&gt;,exh.1894; Sculptor; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2060,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2060</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
2523,"Gispert Sandoval, Elia",,"Gispert Sandoval, Elia, active 1898",,,,,,,,,,1898,exh.,exh.1898,exh.1898,1898,1898,,,Barcelona,Spanish,800,,,,y,,,,BLR |D 1993 02 25 |T 11:41:42,BLR |D 1993 02 25 |T 11:41:42,,"Gispert Sandoval, Elia",G,"Gispert Sandoval, Elia ",,,"Gispert Sandoval, Elia, active 1898",,2061,Barcelona. ,1898,1898,1898,1898,,,"<event start='1898' end='1898' isDuration='true' title='Gispert Sandoval, Elia' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1898; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2061'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2061'&gt;more...&lt;/a&gt;,exh.1898; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2061,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2061</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5253,"Godoy, Elisa",,"Godoy, Elisa, active 1860-1879",,,,,,,,,,1860-1879,exh.,exh.1860-1879,exh.1860-1879,1860,1860,,,Cádiz,Spanish,800,,,,Y,,,,CDEA |D 1994 11 01 |T 15:48:25,CDEA |D 1994 11 01 |T 15:48:25,,"Godoy, Elisa",G,"Godoy, Elisa Godoy, Eloísa","Godoy, Eloísa",,"Godoy, Elisa, active 1860-1879",,2063,Cádiz. ,1860,1879,1879,1860,,,"<event start='1860' end='1879' isDuration='true' title='Godoy, Elisa' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1860-1879; Cádiz  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2063'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2063'&gt;more...&lt;/a&gt;,exh.1860-1879; Cádiz,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2063,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2063</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5256,"Gómez Astorga, Concepción",,"Gómez Astorga, Concepción, active 1892",,,,,,,,,,1892,exh.,exh.1892,exh.1892,1892,1892,,,Málaga,Spanish,800,,,,Y,,,,CDEA |D 1994 11 01 |T 16:00:43,CDEA |D 1994 11 01 |T 16:00:43,,"Gómez Astorga, Concepción",G,"Gómez Astorga, Concepción ",,,"Gómez Astorga, Concepción, active 1892",,2073,Málaga. ,1892,1892,1892,1892,,,"<event start='1892' end='1892' isDuration='true' title='Gómez Astorga, Concepción' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1892; Málaga  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2073'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2073'&gt;more...&lt;/a&gt;,exh.1892; Málaga,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2073,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2073</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5460,"Gómez Cotolí, María",,"Gómez Cotolí, María, active 1895-1908",,,,,,,,,,1895-1908,exh.,exh.1895-1908,exh.1895-1908,1895,1895,,,Valencia,Spanish,800,,,,Y,,,,CDEA |D 1994 11 23 |T 12:53:42,CDEA |D 1994 11 23 |T 12:53:42,,"Gómez Cotolí, María",G,"Gómez Cotolí, María Ciotolí, María Gómez*","Ciotolí, María Gómez*",,"Gómez Cotolí, María, active 1895-1908",,2075,Valencia. ,1895,1908,1908,1895,,,"<event start='1895' end='1908' isDuration='true' title='Gómez Cotolí, María' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1895-1908; Valencia  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2075'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2075'&gt;more...&lt;/a&gt;,exh.1895-1908; Valencia,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2075,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2075</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5257,"Gómez de la Cortina, Joaquina",,"Gómez de la Cortina, Joaquina, active 1858",,,,,,,,,,1858,exh.,exh.1858,exh.1858,1858,1858,,,Seville,Spanish,800,,,,Y,,,,CDEA |D 1994 11 01 |T 16:20:17,CDEA |D 1994 11 01 |T 16:20:17,,"Gómez de la Cortina, Joaquina",G,"Gómez de la Cortina, Joaquina Cortina, Joaquina Gómez de la*","Cortina, Joaquina Gómez de la*",,"Gómez de la Cortina, Joaquina, active 1858",,2077,Seville. ,1858,1858,1858,1858,,,"<event start='1858' end='1858' isDuration='true' title='Gómez de la Cortina, Joaquina' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1858; Seville  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2077'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2077'&gt;more...&lt;/a&gt;,exh.1858; Seville,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2077,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2077</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
